frame_idx,host_timestamp_s,monotonic_s,cycle_idx,mode,rel_path,laser_mm
143,1784150756.223456,60635.359000,1,heartbeat,cycle_01/000098.jpg,-4.2568
144,1784150757.220378,60636.359000,1,heartbeat,cycle_01/000099.jpg,-4.2813
145,1784150758.216898,60637.359000,1,heartbeat,cycle_01/000100.jpg,-4.3189
146,1784150759.213495,60638.359000,1,heartbeat,cycle_01/000101.jpg,-4.3475
147,1784150760.225930,60639.359000,1,heartbeat,cycle_01/000102.jpg,-4.3822
148,1784150761.221777,60640.359000,1,heartbeat,cycle_01/000103.jpg,-4.3914
149,1784150762.222482,60641.359000,1,heartbeat,cycle_01/000104.jpg,-4.4000
150,1784150763.219719,60642.359000,1,heartbeat,cycle_01/000105.jpg,-4.4004
151,1784150764.213450,60643.359000,1,heartbeat,cycle_01/000106.jpg,-4.4080
152,1784150765.225561,60644.359000,1,heartbeat,cycle_01/000107.jpg,-4.4412
153,1784150766.224644,60645.359000,1,heartbeat,cycle_01/000108.jpg,-4.4561
154,1784150767.221019,60646.359000,1,heartbeat,cycle_01/000109.jpg,-4.4613
155,1784150768.217214,60647.359000,1,heartbeat,cycle_01/000110.jpg,-4.4566
156,1784150769.213450,60648.359000,1,heartbeat,cycle_01/000111.jpg,-4.4655
157,1784150770.227424,60649.375000,1,heartbeat,cycle_01/000112.jpg,-4.4542
158,1784150771.240635,60650.375000,1,heartbeat,cycle_01/000113.jpg,-4.4441
159,1784150772.241163,60651.375000,1,heartbeat,cycle_01/000114.jpg,-4.4251
160,1784150773.242208,60652.375000,1,heartbeat,cycle_01/000115.jpg,-4.4118
161,1784150774.239220,60653.375000,1,heartbeat,cycle_01/000116.jpg,-4.4112
162,1784150775.240119,60654.375000,1,heartbeat,cycle_01/000117.jpg,-4.3994
163,1784150776.237495,60655.375000,1,heartbeat,cycle_01/000118.jpg,-4.3945
164,1784150777.237879,60656.375000,1,heartbeat,cycle_01/000119.jpg,-4.3806
