host_timestamp_s,monotonic_s,fields_json
1783441183.512386,607837.750000,"{""t_ms"":116212,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":15648,""crc_err"":0,""crc_err_total"":0,""rate1"":435,""rate2"":415,""prod1"":442,""prod2"":421,""sma_state"":0,""m7_us"":118382034,""m4_us"":115813892,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441184.756375,607838.984000,"{""t_ms"":117264,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":15815,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":425,""prod1"":424,""prod2"":440,""sma_state"":0,""m7_us"":119471169,""m4_us"":116902273,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441186.016737,607840.250000,"{""t_ms"":118315,""hwm"":256,""cap"":256,""dropped"":166,""dropped_total"":15981,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":427,""prod1"":445,""prod2"":420,""sma_state"":0,""m7_us"":120559914,""m4_us"":117990637,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441187.183733,607841.421000,"{""t_ms"":119366,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":16148,""crc_err"":0,""crc_err_total"":0,""rate1"":434,""rate2"":417,""prod1"":432,""prod2"":432,""sma_state"":0,""m7_us"":121649213,""m4_us"":119078008,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441188.275742,607842.500000,"{""t_ms"":120416,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":16313,""crc_err"":0,""crc_err_total"":0,""rate1"":419,""rate2"":434,""prod1"":424,""prod2"":441,""sma_state"":0,""m7_us"":122736122,""m4_us"":120163338,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441189.457827,607843.687000,"{""t_ms"":121468,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":16480,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":426,""prod1"":438,""prod2"":426,""sma_state"":0,""m7_us"":123825570,""m4_us"":121253764,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441190.754312,607844.984000,"{""t_ms"":122516,""hwm"":256,""cap"":256,""dropped"":163,""dropped_total"":16643,""crc_err"":0,""crc_err_total"":0,""rate1"":431,""rate2"":423,""prod1"":432,""prod2"":436,""sma_state"":0,""m7_us"":124911309,""m4_us"":122344228,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441192.000076,607846.234000,"{""t_ms"":123570,""hwm"":256,""cap"":256,""dropped"":170,""dropped_total"":16813,""crc_err"":0,""crc_err_total"":0,""rate1"":405,""rate2"":444,""prod1"":418,""prod2"":444,""sma_state"":0,""m7_us"":126003291,""m4_us"":123434717,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441193.325208,607847.562000,"{""t_ms"":124622,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":16980,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":425,""prod1"":428,""prod2"":436,""sma_state"":0,""m7_us"":127092602,""m4_us"":124524184,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441194.596666,607848.828000,"{""t_ms"":125672,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":17145,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":428,""prod1"":433,""prod2"":433,""sma_state"":0,""m7_us"":128180719,""m4_us"":125611668,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
