host_timestamp_s,monotonic_s,fields_json
1784158810.994565,68690.140000,"{""t_ms"":1441173,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1493630296,""m4_us"":1492985621,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":116,""loop_us_max"":6037,""loop_hz"":8620,""cycle_log_ms"":1,""n_cycle"":4}"
1784158812.033509,68691.187000,"{""t_ms"":1442173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1494666758,""m4_us"":1494022069,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3597,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158813.067804,68692.218000,"{""t_ms"":1443173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1495703210,""m4_us"":1495058507,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3771,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158814.107682,68693.250000,"{""t_ms"":1444173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1496739551,""m4_us"":1496094875,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3860,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158815.142643,68694.296000,"{""t_ms"":1445173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1497776042,""m4_us"":1497131253,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3622,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158816.177152,68695.328000,"{""t_ms"":1446173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1498812332,""m4_us"":1498167675,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3659,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158817.214504,68696.359000,"{""t_ms"":1447173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1499848764,""m4_us"":1499204126,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3835,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158818.250047,68697.390000,"{""t_ms"":1448173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1500885300,""m4_us"":1500240545,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3564,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158819.285671,68698.437000,"{""t_ms"":1449173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1501921660,""m4_us"":1501276933,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3957,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158820.328750,68699.468000,"{""t_ms"":1450173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1502958230,""m4_us"":1502313349,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3744,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
