level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
250,100,5,0,30.0,260.7410319148936,1.169568691489362,4.485556733821286,104.3,1.1220335,251.8705,4.454803162736406,0.28260713866174997,4.693013672972467,370.411048,370.511048,2026-07-31T19:04:46.573722+00:00,42.130237324879545,-4070.424610773776,1.8508640053191487,1.870638,0.01977399468085128,181.441864207244,1.9384624950330296,0,0,1,94,sweep_20260731_145838,map,100,1
250,100,6,0,30.0,264.5527525773196,1.1950375979381442,4.517199637107825,105.8,1.118662,246.637,4.535661721477313,0.275903439694,4.695749838548151,401.467494,401.567494,2026-07-31T19:05:17.607551+00:00,42.011512874912114,-4241.420236777771,1.7941688201058201,1.814467,0.020298179894179924,175.8839841754761,1.9898488432589874,0,0,1,97,sweep_20260731_145838,map,100,1
350,100,1,1,30.0,353.9995319148937,1.57363514893617,4.445302908802979,101.1,1.5516005000000002,352.9605,4.395960737816272,0.5476536882802501,4.576469213693189,458.646136,458.746136,2026-07-31T19:06:14.782781+00:00,147.72809354447236,-4357.9324093625655,1.7591691058201055,1.813316,0.05414689417989438,172.4529306845277,5.30806876831469,0,0,1,94,sweep_20260731_145838,map,100,1
350,100,2,0,30.0,351.6371720430107,1.5836209462365594,4.503565243218535,100.5,1.6458645,361.44,4.55363130810093,0.59488126488,4.726851418406516,489.704309,489.804309,2026-07-31T19:06:45.819345+00:00,112.72404562133897,-4208.449686993318,1.8072982380952383,1.848316,0.04101776190476181,177.17107283737124,4.021008115248078,0,0,1,93,sweep_20260731_145838,map,100,1
350,100,3,0,30.0,350.28420212765957,1.5982949361702128,4.56285189700825,100.1,1.548457,342.29549999999995,4.5237433737808415,0.5300298630435,4.622030198454752,520.761904,520.861904,2026-07-31T19:07:16.855331+00:00,99.75853263965291,-4127.183071458981,1.8332383244680852,1.872259,0.039020675531914684,179.71400285041383,3.8252319407528677,0,0,1,94,sweep_20260731_145838,map,100,1
350,100,4,0,30.0,354.30266666666665,1.5801368387096775,4.4598502562112925,101.2,1.527702,348.08099999999996,4.3889267153335,0.5317640398619999,4.692866412106841,551.819423,551.919423,2026-07-31T19:07:47.891241+00:00,85.60926730659503,-4258.258021000519,1.787670925531915,1.825804,0.038133074468085004,175.24698972233247,3.738219609630344,0,0,1,93,sweep_20260731_145838,map,100,1
350,100,5,0,30.0,346.0708404255319,1.53521920212766,4.436141456587155,98.9,1.498212,340.48350000000005,4.400248470190185,0.5101164655020001,4.6746350415964075,582.875936,582.975936,2026-07-31T19:08:18.926147+00:00,88.41808530167691,-4232.621438638377,1.7968384761904763,1.831526,0.03468752380952367,176.1456929641284,3.400449177597945,0,0,1,94,sweep_20260731_145838,map,100,1
350,100,6,0,30.0,348.7944226804124,1.592617762886598,4.566064304147018,99.7,1.5536159999999999,344.482,4.510006328342264,0.535192746912,4.714564130567821,613.930826,614.030826,2026-07-31T19:08:49.959430+00:00,94.68465803386243,-4209.353811084416,1.8047190476190478,1.839775,0.03505595238095216,176.91823247373532,3.4365665620384456,0,0,1,97,sweep_20260731_145838,map,100,1
450,100,1,1,30.0,451.0771979166667,2.0148818125,4.466822578941875,100.2,1.9914855,439.93,4.5268235855704315,0.876114216015,4.765667414717325,668.75764,668.85764,2026-07-31T19:09:45.485683+00:00,174.38389174953045,-4352.486689367879,1.76067028042328,1.822084,0.06141371957671993,172.60009218192448,6.020442202062038,0,0,1,96,sweep_20260731_145838,map,100,1
450,100,2,0,30.0,445.239914893617,1.989072404255319,4.4674170884489905,98.9,1.966243,446.88550000000004,4.399880953846119,0.8786854861765001,4.718128731710517,699.811278,699.911278,2026-07-31T19:10:16.516946+00:00,155.08724883861032,-4217.413651062345,1.802569931216931,1.856947,0.054377068783068916,176.70755265864474,5.330632991819566,0,0,1,94,sweep_20260731_145838,map,100,1
450,100,3,0,30.0,449.7133010752687,1.9964086021505376,4.439291871903958,99.9,2.018971,450.071,4.485894447764909,0.908680296941,4.706113271185647,730.864755,730.964755,2026-07-31T19:10:47.548048+00:00,159.97042929303097,-4221.752431552301,1.8020016170212767,1.857775,0.05577338297872325,176.6518403065656,5.467514929093436,0,0,1,93,sweep_20260731_145838,map,100,1
450,100,4,0,30.0,450.18285416666674,2.0005892083333334,4.44394803093206,100.0,1.9773405,445.52950000000004,4.438180861199988,0.88096352429475,4.679190940629705,761.915953,762.015953,2026-07-31T19:11:18.576873+00:00,174.8400409621222,-4178.517893508661,1.8170319999999998,1.877117,0.060085000000000166,178.1252822772187,5.890186626117051,0,0,1,96,sweep_20260731_145838,map,100,1
450,100,5,0,30.0,449.1585161290323,2.0007457096774193,4.454431203754921,99.8,1.9860384999999998,444.03900000000004,4.472666815302259,0.8818785495014999,4.693481728876491,792.967773,793.067773,2026-07-31T19:11:49.606319+00:00,154.55061716287673,-4191.075273469367,1.8118566137566134,1.867002,0.05514538624338661,177.6179345059649,5.405951843935326,0,0,1,93,sweep_20260731_145838,map,100,1
450,100,6,0,30.0,449.05795959595963,2.0013296868686865,4.456729123940671,99.8,1.915362,436.31,4.3899108432078116,0.83569159422,4.713195375570787,824.020779,824.120779,2026-07-31T19:12:20.636950+00:00,164.8902875946601,-4220.1214105767485,1.8015122446808511,1.860446,0.058933755319148906,176.60386669560168,5.777329073940327,0,0,1,99,sweep_20260731_145838,map,100,1
550,100,1,1,30.0,551.3643608247423,2.4468112989690725,4.437739311458363,100.2,2.385744,550.753,4.331785755138873,1.3139556652320001,4.86451807835633,879.257402,879.357402,2026-07-31T19:13:15.920412+00:00,256.6823671257962,-4369.459177864447,1.754095335106383,1.844698,0.0906026648936169,171.95554437510017,8.881860781342192,0,0,1,97,sweep_20260731_145838,map,100,1
550,100,2,0,30.0,793.307925531915,3.49593454255319,4.406781314089554,144.2,3.4760805,797.3805000000001,4.359374853034405,2.7717588071302504,4.572863809433674,910.312077,910.412077,2026-07-31T19:13:46.953979+00:00,620.7468008476208,-4120.109400704962,1.8350803404255318,2.040607,0.20552665957446825,179.89457733252496,20.147963410768767,0,0,1,94,sweep_20260731_145838,map,100,1
550,100,3,0,30.0,552.71438,2.46189606,4.454192163409969,100.5,2.3807655,545.8555,4.361530661502906,1.29955394238525,4.700680780329278,941.365106,941.465106,2026-07-31T19:14:17.985902+00:00,262.9956699566278,-4167.221090618634,1.8196800957446808,1.91021,0.09052990425531915,178.38487748633906,8.874727990485752,0,0,1,100,sweep_20260731_145838,map,100,1
550,100,4,0,30.0,548.730125,2.4446119479166666,4.455035064671666,99.8,2.397082,534.065,4.488371265669909,1.28019759833,4.711182660446255,972.420201,972.520201,2026-07-31T19:14:49.019889+00:00,250.89071141591558,-4142.506543233128,1.8262645132275133,1.915711,0.08944648677248668,179.0303538581149,8.768519599574855,0,0,1,96,sweep_20260731_145838,map,100,1
550,100,5,0,30.0,552.5806288659794,2.4513159381443295,4.436123544857129,100.5,2.431082,547.9035000000001,4.437062365909324,1.3319983365870003,4.7109460894843735,1003.474385,1003.574385,2026-07-31T19:15:20.052965+00:00,270.5786122680229,-4181.033495254022,1.81479555026455,1.915246,0.10045044973544992,177.90604109686205,9.847247992330672,0,0,1,97,sweep_20260731_145838,map,100,1
