t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.215282,0.001004,0.741968,0.158288,4.68745578,0.117444631,191,212
0.216264,0.000982,0.832212,0.172601,4.82159431,0.143640623,182,213
0.21727,0.001006,0.750198,0.136045,5.51433717,0.102060687,182,214
0.218272,0.001002,0.680421,0.150238,4.52895406,0.10222509,185,215
0.219259,0.000987,0.667224,0.181665,3.67282636,0.121211248,185,216
0.22027,0.001011,0.709935,0.183603,3.86668518,0.130346196,185,217
0.221253,0.000983,0.740072,0.180213,4.10665157,0.133370595,185,218
0.22227,0.001017,0.727811,0.188084,3.86960613,0.136889604,185,219
0.223259,0.000989,0.721644,0.184976,3.90128449,0.133486821,185,220
0.224273,0.001014,0.740984,0.141108,5.25118349,0.10455877,194,221
0.225262,0.000989,0.854167,0.153759,5.55523254,0.131335864,196,222
0.226275,0.001013,0.7388,0.168918,4.37371979,0.124796618,188,223
0.227263,0.000988,0.725219,0.160148,4.52842995,0.116142372,186,224
0.228278,0.001015,0.849464,0.153945,5.5179707,0.130770735,187,225
0.229263,0.000985,0.640062,0.157232,4.07081256,0.100638228,186,226
0.230276,0.001013,0.713438,0.158318,4.50636062,0.112950077,185,227
0.231287,0.001011,0.827413,0.160783,5.14614729,0.133033944,182,228
0.232267,0.00098,0.747246,0.158954,4.70102042,0.118777741,180,229
0.233278,0.001011,0.749478,0.143411,5.22608447,0.107483389,188,230
0.234264,0.000986,0.713654,0.184292,3.872409,0.131520723,188,231
0.235273,0.001009,0.737984,0.159056,4.63977467,0.117380783,186,232
0.236278,0.001005,0.818295,0.15863,5.15851352,0.129806136,184,233
0.237287,0.001009,0.706167,0.131612,5.36552138,0.0929400512,184,234
0.238287,0.001,0.694458,0.161863,4.29040608,0.112407055,180,235
0.239272,0.000985,0.848241,0.157148,5.39772062,0.133299377,179,236
0.240258,0.000986,0.69153,0.196014,3.52796229,0.135549561,179,237
0.241272,0.001014,0.728027,0.14911,4.88248273,0.108556106,183,238
0.242282,0.00101,0.809153,0.145997,5.54225772,0.118133911,189,239
0.243291,0.001009,0.743767,0.171935,4.32586152,0.127879579,180,240
0.244295,0.001004,0.678333,0.186992,3.62760439,0.126842844,180,241
0.245261,0.000966,0.70192,0.140052,5.01185274,0.0983052998,189,242
0.246267,0.001006,0.653355,0.171917,3.8004095,0.112322832,179,243
0.247273,0.001006,0.817935,0.160202,5.10564787,0.131034823,176,244
0.248277,0.001004,0.67639,0.157064,4.30646106,0.106236519,175,245
0.249278,0.001001,0.84992,0.160639,5.29086959,0.136530299,172,246
0.250266,0.000988,0.711902,0.144143,4.93885933,0.10261569,179,247
0.252028,0.001762,0.7388,0.170099,4.34335299,0.125669141,163,248
0.25364,0.001612,0.621202,0.183644,3.3826425,0.11408002,163,249
0.254642,0.001002,0.663744,0.152331,4.35724836,0.101108787,165,250
0.255649,0.001007,0.865421,0.152565,5.67247403,0.132032955,166,251
0.256628,0.000979,0.669119,0.146225,4.57595486,0.0978419258,172,252
0.257631,0.001003,0.717469,0.145763,4.92216132,0.104580434,178,253
0.258636,0.001005,0.714709,0.182391,3.9185541,0.130356489,178,254
0.259638,0.001002,0.840562,0.155487,5.40599536,0.130696464,178,255
0.260645,0.001007,0.727355,0.152775,4.76095565,0.11112166,179,256
0.261624,0.000979,0.750966,0.188347,3.98714076,0.141442193,179,257
0.262638,0.001014,0.724763,0.154629,4.68710915,0.112069378,180,258
