t_s,src,stream,value,raw_code,seq
-1.868938,3,sma_v,0.410767,0,3181820
-1.868938,4,sma_i,0.116261,0,3181820
-1.868907,2,load,1.87391,3143900,1795954
-1.867932,4,sma_i,0.104336,0,3181821
-1.867932,3,sma_v,0.399058,0,3181821
-1.8679,1,laser,4.480648,1924423685,1795962
-1.86692,4,sma_i,0.10298,0,3181822
-1.86692,3,sma_v,0.449111,0,3181822
-1.866891,2,load,1.87391,3143900,1795955
-1.865942,3,sma_v,0.566158,0,3181823
-1.865942,4,sma_i,0.103208,0,3181823
-1.865884,1,laser,4.481549,1924810495,1795963
-1.864931,3,sma_v,0.407168,0,3181824
-1.864931,4,sma_i,0.09523,0,3181824
-1.864875,2,load,1.877767,3150370,1795956
-1.863947,3,sma_v,0.495589,0,3181825
-1.863947,4,sma_i,0.074126,0,3181825
-1.863868,1,laser,4.480385,1924310496,1795964
-1.862941,4,sma_i,0.133855,0,3181826
-1.862941,3,sma_v,0.500532,0,3181826
-1.862859,2,load,1.880252,3154540,1795957
-1.86193,4,sma_i,0.132116,0,3181827
-1.86193,3,sma_v,0.501875,0,3181827
-1.861852,1,laser,4.479431,1923900950,1795965
-1.860948,3,sma_v,0.623361,0,3181828
-1.860948,4,sma_i,0.108475,0,3181828
-1.860843,2,load,1.879245,3152850,1795958
-1.859942,3,sma_v,0.393659,0,3181829
-1.859942,4,sma_i,0.110112,0,3181829
-1.859836,1,laser,4.480101,1924188736,1795966
-1.858936,3,sma_v,0.419501,0,3181830
-1.858936,4,sma_i,0.074582,0,3181830
-1.858827,2,load,1.879782,3153750,1795959
-1.857931,4,sma_i,0.115415,0,3181831
-1.857931,3,sma_v,0.671447,0,3181831
-1.85782,1,laser,4.48048,1924351308,1795967
-1.856943,4,sma_i,0.066634,0,3181832
-1.856943,3,sma_v,0.605461,0,3181832
-1.856811,2,load,1.879782,3153750,1795960
-1.855939,3,sma_v,0.427204,0,3181833
-1.855939,4,sma_i,0.064006,0,3181833
-1.855804,1,laser,4.48048,1924351308,1795968
-1.854946,3,sma_v,0.502379,0,3181834
-1.854946,4,sma_i,0.152985,0,3181834
-1.854795,2,load,1.875305,3146240,1795961
-1.85394,3,sma_v,0.564886,0,3181835
-1.85394,4,sma_i,0.108127,0,3181835
-1.853788,1,laser,4.480529,1924372522,1795969
-1.852932,3,sma_v,0.5353,0,3181836
-1.852932,4,sma_i,0.106465,0,3181836
-1.852779,2,load,1.878887,3152250,1795962
-1.851951,4,sma_i,0.101168,0,3181837
-1.851951,3,sma_v,0.569565,0,3181837
-1.851772,1,laser,4.481657,1924857072,1795970
-1.850946,3,sma_v,0.690547,0,3181838
-1.850946,4,sma_i,0.111156,0,3181838
-1.850763,2,load,1.87673,3148630,1795963
-1.84994,3,sma_v,0.388644,0,3181839
-1.84994,4,sma_i,0.104072,0,3181839
-1.849756,1,laser,4.480734,1924460731,1795971
-1.848936,3,sma_v,0.597975,0,3181840
-1.848936,4,sma_i,0.138924,0,3181840
-1.848747,2,load,1.877993,3150750,1795964
-1.847926,4,sma_i,0.077078,0,3181841
-1.847926,3,sma_v,0.474929,0,3181841
-1.84774,1,laser,4.479757,1924041145,1795972
-1.846941,3,sma_v,0.48172,0,3181842
-1.846941,4,sma_i,0.074786,0,3181842
-1.846731,2,load,1.877993,3150750,1795965
-1.845936,3,sma_v,0.492853,0,3181843
-1.845936,4,sma_i,0.081577,0,3181843
-1.845724,1,laser,4.479757,1924041145,1795973
-1.84493,3,sma_v,0.491678,0,3181844
-1.84493,4,sma_i,0.085974,0,3181844
-1.844715,2,load,1.88297,3159100,1795966
-1.843947,3,sma_v,0.412711,0,3181845
-1.843947,4,sma_i,0.069525,0,3181845
-1.843714,1,laser,4.480478,1924350706,1795974
-1.842946,4,sma_i,0.105661,0,3181846
-1.842946,3,sma_v,0.510346,0,3181846
-1.842705,2,load,1.880103,3154290,1795967
-1.841946,4,sma_i,0.108031,0,3181847
-1.841946,3,sma_v,0.446351,0,3181847
-1.841698,1,laser,4.481227,1924672251,1795975
-1.840947,4,sma_i,0.101846,0,3181848
-1.840947,3,sma_v,0.503243,0,3181848
-1.840689,2,load,1.877683,3150230,1795968
-1.839924,3,sma_v,0.446016,0,3181849
-1.839924,4,sma_i,0.123208,0,3181849
-1.839682,1,laser,4.481043,1924593106,1795976
-1.83894,3,sma_v,0.499572,0,3181850
-1.83894,4,sma_i,0.068829,0,3181850
-1.838673,2,load,1.875782,3147040,1795969
-1.837931,3,sma_v,0.578707,0,3181851
-1.837931,4,sma_i,0.106999,0,3181851
-1.837666,1,laser,4.482019,1925012607,1795977
-1.836929,3,sma_v,0.45415,0,3181852
-1.836929,4,sma_i,0.106357,0,3181852
-1.836657,2,load,1.87819,3151080,1795970
-1.835919,4,sma_i,0.105715,0,3181853
-1.835919,3,sma_v,0.624585,0,3181853
-1.83565,1,laser,4.482019,1925012607,1795978
-1.834946,4,sma_i,0.100107,0,3181854
-1.834946,3,sma_v,0.630344,0,3181854
-1.834641,2,load,1.87819,3151080,1795971
-1.83394,4,sma_i,0.108085,0,3181855
-1.83394,3,sma_v,0.473826,0,3181855
-1.833634,1,laser,4.481338,1924719914,1795979
-1.832931,3,sma_v,0.534796,0,3181856
-1.832931,4,sma_i,0.090953,0,3181856
-1.832625,2,load,1.881641,3156870,1795972
-1.83195,4,sma_i,0.152805,0,3181857
-1.83195,3,sma_v,0.50166,0,3181857
-1.831618,1,laser,4.480386,1924311302,1795980
-1.830947,3,sma_v,0.481,0,3181858
-1.830947,4,sma_i,0.095704,0,3181858
-1.830609,2,load,1.882428,3158190,1795973
-1.829947,3,sma_v,0.661609,0,3181859
-1.829947,4,sma_i,0.073142,0,3181859
-1.829602,1,laser,4.480896,1924529901,1795981
-1.828943,3,sma_v,0.429027,0,3181860
-1.828943,4,sma_i,0.132434,0,3181860
-1.828593,2,load,1.878697,3151930,1795974
-1.827937,3,sma_v,0.659953,0,3181861
-1.827937,4,sma_i,0.075134,0,3181861
-1.827586,1,laser,4.481761,1924901886,1795982
-1.826931,3,sma_v,0.53758,0,3181862
-1.826931,4,sma_i,0.109117,0,3181862
-1.826577,2,load,1.876557,3148340,1795975
-1.825953,3,sma_v,0.674638,0,3181863
-1.825953,4,sma_i,0.157034,0,3181863
-1.82557,1,laser,4.481761,1924901886,1795983
-1.824947,4,sma_i,0.070623,0,3181864
-1.824947,3,sma_v,0.581754,0,3181864
-1.824561,2,load,1.876557,3148340,1795976
-1.823945,3,sma_v,0.395986,0,3181865
-1.823945,4,sma_i,0.09382,0,3181865
-1.823554,1,laser,4.481601,1924832831,1795984
-1.822938,3,sma_v,0.50893,0,3181866
-1.822938,4,sma_i,0.117563,0,3181866
-1.822545,2,load,1.876414,3148100,1795977
-1.821931,4,sma_i,0.1034,0,3181867
-1.821931,3,sma_v,0.479608,0,3181867
-1.821538,1,laser,4.482784,1925341147,1795985
-1.82095,4,sma_i,0.111432,0,3181868
-1.82095,3,sma_v,0.514185,0,3181868
-1.820529,2,load,1.879555,3153370,1795978
-1.819948,4,sma_i,0.150484,0,3181869
-1.819948,3,sma_v,0.508426,0,3181869
-1.819522,1,laser,4.482273,1925121652,1795986
-1.818949,3,sma_v,0.502211,0,3181870
-1.818949,4,sma_i,0.157844,0,3181870
-1.818513,2,load,1.877129,3149300,1795979
-1.817947,3,sma_v,0.497532,0,3181871
-1.817947,4,sma_i,0.094756,0,3181871
-1.817506,1,laser,4.481056,1924599010,1795987
-1.816947,3,sma_v,0.496549,0,3181872
-1.816947,4,sma_i,0.160945,0,3181872
-1.816497,2,load,1.88002,3154150,1795980
-1.815944,3,sma_v,0.47193,0,3181873
-1.815944,4,sma_i,0.134767,0,3181873
-1.815496,1,laser,4.481056,1924599010,1795988
-1.814939,4,sma_i,0.089009,0,3181874
-1.814939,3,sma_v,0.49962,0,3181874
-1.814488,2,load,1.88002,3154150,1795981
-1.813931,4,sma_i,0.079189,0,3181875
-1.813931,3,sma_v,0.494317,0,3181875
