t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0.746224,0.002016,0.006211,3.96010751,10420,1579327,2
0.750256,0.004032,0.00385,3.72865656,6460,1579329,1
0.752272,0.002016,0.003648,3.70885431,6120,1579330,1
0.754288,0.002016,0.005281,3.86893877,8860,1579331,1
0.756311,0.002023,0.008088,4.14411151,13570,1579332,2
0.760343,0.004032,0.003767,3.72051999,6320,1579334,1
0.762359,0.002016,0.001281,3.47681517,2150,1579335,1
0.764375,0.002016,-0.000978,3.25536337,-1640,1579336,1
0.766391,0.002016,0.007856,4.12136834,13180,1579337,2
0.770423,0.004032,0.00093,3.44240633,1560,1579339,1
0.772439,0.002016,-0.000596,3.29281118,-1000,1579340,1
0.774455,0.002016,0.006706,4.00863281,11250,1579341,1
0.776477,0.002022,0.00307,3.65219245,5150,1579342,1
0.778493,0.002016,0.008059,4.14126861,13520,1579343,2
0.782525,0.004032,0.013989,4.72259185,23470,1579345,1
0.784541,0.002016,0.014526,4.77523445,24370,1579346,1
0.786557,0.002016,0.007033,4.04068891,11800,1579347,1
0.788573,0.002016,-0.007153,2.65002256,-12000,1579348,2
0.792611,0.004038,0.004673,3.80933599,7840,1579350,1
0.794627,0.002016,0.004566,3.79884668,7660,1579351,1
0.796643,0.002016,0.001931,3.54053526,3240,1579352,1
0.798659,0.002016,-0.00298,3.05910551,-5000,1579353,2
0.802691,0.004032,0.008368,4.17156016,14040,1579355,1
0.804707,0.002016,-0.00062,3.29045843,-1040,1579356,1
0.806723,0.002016,0.003898,3.73336204,6540,1579357,1
0.808746,0.002023,0.0117,4.49819912,19630,1579358,2
0.812778,0.004032,0.006944,4.03196416,11650,1579360,1
0.814794,0.002016,0.014162,4.7395512,23760,1579361,1
0.81681,0.002016,0.00999,4.33056628,16760,1579362,1
0.818826,0.002016,0.002527,3.59896168,4240,1579363,2
0.822858,0.004032,0.007027,4.04010073,11790,1579365,1
0.824874,0.002016,0.005358,3.87648715,8990,1579366,1
0.826896,0.002022,0.003552,3.69944335,5960,1579367,1
0.828912,0.002016,0.002921,3.63758585,4900,1579368,1
0.830928,0.002016,0.019693,5.28176011,33040,1579369,2
0.83496,0.004032,0.001955,3.542888,3280,1579371,1
0.836976,0.002016,0.006402,3.97883141,10740,1579372,1
0.838992,0.002016,0.003636,3.70767794,6100,1579373,1
0.841008,0.002016,0.009143,4.24753411,15340,1579374,2
0.845047,0.004039,0.005066,3.84786213,8500,1579376,1
0.847063,0.002016,0.003463,3.6907186,5810,1579377,1
0.849079,0.002016,0.007206,4.05764826,12090,1579378,1
0.851095,0.002016,0.009006,4.23410388,15110,1579379,2
0.855127,0.004032,-0.000119,3.33957191,-200,1579381,1
0.857143,0.002016,0.004417,3.78424008,7410,1579382,1
0.859159,0.002016,0.001901,3.53759433,3190,1579383,1
0.861181,0.002022,0.003427,3.68718949,5750,1579384,2
0.865213,0.004032,0.00267,3.61298009,4480,1579386,1
0.867229,0.002016,0.001335,3.48210884,2240,1579387,1
0.869245,0.002016,0.007761,4.11205541,13020,1579388,1
0.871261,0.002016,0.011873,4.51515847,19920,1579389,2
0.875293,0.004032,0.000942,3.4435827,1580,1579391,1
0.877315,0.002022,0.001156,3.46456131,1940,1579392,1
0.879331,0.002016,0.003755,3.71934362,6300,1579393,1
0.881347,0.002016,0.003815,3.72522548,6400,1579394,1
0.883363,0.002016,0.001943,3.54171163,3260,1579395,2
0.887395,0.004032,-0.002003,3.1548817,-3360,1579397,1
0.889411,0.002016,0.001609,3.50896931,2700,1579398,1
0.891434,0.002023,-0.006557,2.70844898,-11000,1579399,1
0.89345,0.002016,-0.00056,3.29634029,-940,1579400,2
0.897482,0.004032,0.001717,3.51955665,2880,1579402,1
0.899498,0.002016,0.001276,3.47632502,2140,1579403,1
0.901514,0.002016,-0.00093,3.26006885,-1560,1579404,1
0.90353,0.002016,0.001764,3.5241641,2960,1579405,2
0.907568,0.004038,0.000167,3.36760875,280,1579407,1
0.909584,0.002016,0.001609,3.50896931,2700,1579408,1
0.9116,0.002016,-0.00335,3.02283408,-5620,1579409,1
0.913616,0.002016,0.004828,3.82453078,8100,1579410,2
0.917648,0.004032,0.009835,4.31537149,16500,1579412,1
0.919664,0.002016,0.009322,4.26508164,15640,1579413,1
0.92168,0.002016,0.000131,3.36407964,220,1579414,1
0.923703,0.002023,-0.005996,2.76344432,-10060,1579415,1
0.925719,0.002016,0.003672,3.71120706,6160,1579416,2
0.929751,0.004032,0.000262,3.37692169,440,1579418,1
0.931767,0.002016,-0.000823,3.27055816,-1380,1579419,1
0.933783,0.002016,0.008595,4.19381318,14420,1579420,1
0.935799,0.002016,0.014037,4.72729733,23550,1579421,2
0.939831,0.004032,0.002992,3.64454604,5020,1579423,1
0.941853,0.002022,0.000256,3.3763335,430,1579424,1
0.943869,0.002016,0.003093,3.65444717,5190,1579425,1
0.945885,0.002016,-0.000817,3.27114635,-1370,1579426,2
0.949917,0.004032,0.003326,3.67728837,5580,1579428,1
0.951933,0.002016,0.007367,4.07343123,12360,1579429,1
0.953949,0.002016,0.005668,3.90687673,9510,1579430,1
0.955965,0.002016,0.008339,4.16871727,13990,1579431,2
0.960003,0.004038,0.008315,4.16636453,13950,1579433,1
0.962019,0.002016,0.000638,3.41378131,1070,1579434,1
0.964035,0.002016,0.002861,3.631704,4800,1579435,1
0.966051,0.002016,0.005323,3.87305607,8930,1579436,2
0.970083,0.004032,0.007993,4.13479858,13410,1579438,1
0.972099,0.002016,-0.000358,3.31614253,-600,1579439,1
0.974115,0.002016,-0.001252,3.2285029,-2100,1579440,1
0.976138,0.002023,0.010657,4.39595289,17880,1579441,1
0.978154,0.002016,0.00844,4.17861839,14160,1579442,2
0.982186,0.004032,0.004435,3.78600463,7440,1579444,1
0.984202,0.002016,0.002003,3.54759348,3360,1579445,1
0.986218,0.002016,0.005627,3.90285747,9440,1579446,1
0.988234,0.002016,0.00267,3.61298009,4480,1579447,2
0.992266,0.004032,0.002915,3.63699767,4890,1579449,1
0.994288,0.002022,0.011677,4.49594441,19590,1579450,1
0.996304,0.002016,0.012439,4.57064396,20870,1579451,1
