t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.194425,0.000978,0.674734,0.108997,6.19039056,0.0735439818,32,191
0.195437,0.001012,0.54785,0.124743,4.3918296,0.0683404525,32,192
0.196421,0.000984,0.537076,0.112392,4.77859634,0.0603630458,28,193
0.197436,0.001015,0.696042,0.097809,7.11633899,0.068079172,34,194
0.198415,0.000979,0.466795,0.114108,4.09081747,0.0532650439,28,195
0.199426,0.001011,0.49974,0.122704,4.07272787,0.061320097,28,196
0.200439,0.001013,0.542211,0.127611,4.24893622,0.0691920879,28,197
0.201421,0.000982,0.52527,0.139998,3.75198217,0.0735367495,28,198
0.202437,0.001016,0.485223,0.127335,3.81060196,0.0617858707,28,199
0.203426,0.000989,0.541275,0.096051,5.6352875,0.051990005,35,200
0.20444,0.001014,0.563926,0.111996,5.0352334,0.0631574563,31,201
0.205449,0.001009,0.52719,0.145955,3.6120037,0.0769460165,31,202
0.206432,0.000983,0.543938,0.108115,5.03110577,0.0588078569,30,203
0.20744,0.001008,0.492518,0.112854,4.36420508,0.0555826264,26,204
0.208432,0.000992,0.616379,0.099021,6.22473011,0.061034465,30,205
0.209449,0.001017,0.502259,0.106363,4.72212141,0.053421774,30,206
0.210432,0.000983,0.549817,0.111444,4.93357202,0.0612738057,26,207
0.211439,0.001007,0.608388,0.113136,5.37749258,0.0688305848,22,208
0.212448,0.001009,0.507034,0.110598,4.58447712,0.0560769463,19,209
0.213432,0.000984,0.471258,0.106915,4.40778188,0.0503845491,18,210
0.214437,0.001005,0.515984,0.110484,4.67021469,0.0570079763,15,211
0.215438,0.001001,0.5383,0.089939,5.98516772,0.0484141637,15,212
0.216445,0.001007,0.463748,0.102302,4.53312741,0.0474423479,17,213
0.217423,0.000978,0.525726,0.091264,5.76049702,0.0479798577,17,214
0.218436,0.001013,0.5162,0.115199,4.48094167,0.0594657238,11,215
0.219441,0.001005,0.614507,0.093364,6.58184097,0.0573728315,19,216
0.220413,0.000972,0.65657,0.136933,4.79482667,0.0899060998,19,217
0.221415,0.001002,0.626864,0.107311,5.84156331,0.0672694027,18,218
0.222423,0.001008,0.502283,0.111558,4.50243819,0.0560336869,14,219
0.22344,0.001017,0.619882,0.09295,6.66898332,0.0576180319,14,220
0.224446,0.001006,0.512793,0.127935,4.00823074,0.0656041725,14,221
0.225428,0.000982,0.571053,0.097653,5.84777733,0.0557650386,20,222
0.226444,0.001016,0.610764,0.111222,5.49139559,0.0679303936,16,223
0.227453,0.001009,0.541947,0.125643,4.31338793,0.0680918469,16,224
0.228421,0.000968,0.523831,0.110112,4.75725625,0.0576800791,13,225
0.229462,0.001041,0.441241,0.104636,4.21691387,0.0461696933,14,226
0.230428,0.000966,0.451246,0.134119,3.36451957,0.0605206623,14,227
0.231449,0.001021,0.523375,0.107185,4.88291272,0.0560979494,13,228
0.232442,0.000993,0.520567,0.131942,3.94542299,0.0686846511,13,229
0.233461,0.001019,0.528462,0.118085,4.47526782,0.0624034353,5,230
0.23444,0.000979,0.514473,0.105733,4.86577511,0.0543967737,5,231
0.235426,0.000986,0.531293,0.103274,5.1444991,0.0548687533,6,232
0.236439,0.001013,0.39685,0.091618,4.3315724,0.0363586033,6,233
0.237454,0.001015,0.501588,0.095656,5.2436648,0.0479799017,13,234
0.238433,0.000979,0.526614,0.105487,4.99221705,0.055550931,13,235
0.239444,0.001011,0.474881,0.104792,4.53165318,0.0497637298,13,236
0.240434,0.00099,0.463388,0.094288,4.91460207,0.0436919277,21,237
0.241438,0.001004,0.496045,0.137227,3.61477698,0.0680707672,21,238
0.242441,0.001003,0.572732,0.099723,5.74322874,0.0571145532,25,239
0.243428,0.000987,0.485223,0.108559,4.46967087,0.0526753237,24,240
0.244435,0.001007,0.639414,0.106177,6.02215169,0.0678910603,23,241
0.245438,0.001003,0.459741,0.104924,4.3816572,0.0482378647,24,242
0.246441,0.001003,0.514665,0.112962,4.55608966,0.0581375877,20,243
0.247445,0.001004,0.485895,0.111264,4.36704594,0.0540626213,16,244
0.248423,0.000978,0.465163,0.110832,4.19700989,0.0515549456,13,245
0.249432,0.001009,0.512409,0.099045,5.1734969,0.0507515494,17,246
0.250974,0.001542,0.604957,0.105661,5.72545215,0.0639203616,18,247
0.252575,0.001601,0.509842,0.142847,3.56914741,0.0728294002,18,248
0.253577,0.001002,0.49163,0.10121,4.85752396,0.0497578723,21,249
