level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
350,400,4,0,347.85,370.00,-3736.62,1.96449,2.09106,0.12657,0
350,400,5,0,349.90,358.81,-3687.89,1.98099,2.10448,0.12349,0
350,400,6,0,351.88,407.07,-3716.90,1.97207,2.11081,0.13874,0
450,400,1,1,263.51,352.95,-3894.25,1.91988,2.03692,0.11704,0
450,400,2,0,450.13,676.96,-3740.86,1.96380,2.19071,0.22690,0
450,400,3,0,449.98,677.72,-3700.88,1.97787,2.20497,0.22710,0
450,400,4,0,448.19,666.86,-3698.85,1.97701,2.20285,0.22584,0
450,400,5,0,448.95,672.35,-3717.55,1.96996,2.19309,0.22313,0
450,400,6,0,640.90,2728.64,-3355.41,2.09017,2.95289,0.86272,0
550,400,1,1,281.94,417.88,-3971.82,1.89413,2.03071,0.13658,0
550,400,2,0,547.78,1209.78,-3803.83,1.94683,2.33571,0.38889,0
550,400,3,0,548.53,1263.59,-3669.08,1.98694,2.40121,0.41427,0
550,400,4,0,549.26,1144.08,-3745.40,1.96281,2.33420,0.37139,0
550,400,5,0,547.84,1126.04,-3786.24,1.94934,2.31434,0.36500,0
550,400,6,0,548.07,1155.06,-3762.20,1.95595,2.33287,0.37692,0
650,400,1,1,367.57,543.97,-4018.16,1.87994,2.05756,0.17762,0
650,400,2,0,649.48,2080.71,-3889.39,1.92027,2.58215,0.66188,0
650,400,3,0,649.02,2118.90,-3735.41,1.96604,2.64285,0.67681,0
650,400,4,0,952.22,8722.51,-3694.78,1.98142,5.00000,3.01858,1
650,400,5,0,1010.83,2411.11,2616.51,3.97026,5.00000,1.02974,1
650,400,6,0,1049.17,-8917.10,3902.49,4.37321,5.00000,0.62679,1
750,400,1,1,387.21,779.74,-3813.01,1.94337,2.19470,0.25133,0
750,400,2,0,1042.49,8651.61,-3624.06,2.00004,5.00000,2.99996,1
750,400,3,0,748.18,4097.01,-2092.19,2.47975,3.79056,1.31080,0
750,400,4,0,748.73,3860.38,-2540.42,2.34524,3.57054,1.22530,0
750,400,5,0,748.09,3871.18,-2685.20,2.29986,3.53450,1.23464,0
750,400,6,0,748.32,3817.69,-2676.51,2.30229,3.51183,1.20953,0
850,400,1,1,436.22,925.51,-3913.64,1.91233,2.21474,0.30241,0
850,400,2,0,1162.01,8767.58,-3740.05,1.96136,5.00000,3.03864,1
850,400,3,0,848.15,6295.52,-1267.79,2.74298,4.78831,2.04533,0
850,400,4,0,1205.54,7372.24,-2344.72,2.40541,5.00000,2.59459,1
850,400,5,0,1226.27,-9843.28,4828.67,4.66153,5.00000,0.33847,1
850,400,6,0,846.59,4767.07,260.69,3.21522,5.00000,1.78478,1
950,400,1,1,436.23,1460.69,-3762.82,1.95089,2.42409,0.47321,0
950,400,2,0,946.63,8581.04,-3553.29,2.01387,5.00000,2.98613,1
950,400,3,0,947.22,7085.73,-2057.98,2.48370,5.00000,2.51630,1
950,400,4,0,947.27,6904.75,-1877.01,2.53950,5.00000,2.46050,1
950,400,5,0,947.22,6298.04,-1270.29,2.73693,5.00000,2.26307,1
950,400,6,0,947.36,6838.67,-1810.92,2.56157,5.00000,2.43843,1
