t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
1.5099986,-3848.5545,0.21727389,0.47638245,0.14684429,3.145189,79.999979
1.5199986,-3848.4033,0.21693704,0.47546432,0.14698563,3.1356029,79.999979
1.5299985,-3843.7764,0.21707107,0.47454619,0.14712697,3.1260168,79.999979
1.5399985,-3844.9842,0.21599676,0.47370469,0.1472683,3.1164307,79.999979
1.5499985,-3844.5345,0.21686192,0.47560801,0.14648218,3.1483272,79.999979
1.5599985,-3844.2587,0.21629311,0.47751134,0.14567114,3.1813377,79.999979
1.5699985,-3843.4458,0.21634379,0.47941467,0.1448601,3.2143483,79.999979
1.5799985,-3844.8729,0.21652914,0.481318,0.14404906,3.2473588,79.999979
1.5899985,-3843.4394,0.21623232,0.48322133,0.14323803,3.2803694,79.999979
1.5999985,-3841.2032,0.21627525,0.48512465,0.14242699,3.3133799,79.999979
1.6099985,-3840.4213,0.21619707,0.48702798,0.14161595,3.3463905,79.999979
1.6199985,-3841.2355,0.2162395,0.48893131,0.14080492,3.379401,79.999979
1.6299984,-3841.6106,0.21698581,0.49083464,0.13999388,3.4124116,79.999979
1.6399984,-3840.0727,0.21638591,0.49273796,0.13918284,3.4454221,79.999979
1.6499984,-3842.6213,0.21642903,0.49464129,0.13837181,3.4784327,79.999979
1.6599984,-3841.7964,0.21661845,0.49654462,0.13756077,3.5114432,79.999979
1.6699984,-3838.0216,0.21712388,0.49844795,0.13674973,3.5444538,79.999979
1.6799984,-3838.9487,0.21692438,0.50035128,0.1359387,3.5774643,79.999979
1.6899984,-3837.4717,0.21667819,0.50062615,0.13513662,3.6039317,79.999979
1.6999984,-3836.7667,0.21625339,0.5001966,0.13433948,3.6247357,79.999979
1.7099984,-3836.4051,0.21588749,0.49976704,0.13354235,3.6455397,79.999979
1.7199984,-3836.0174,0.21649999,0.49933748,0.13274522,3.6663437,79.999979
1.7299984,-3835.9882,0.21655892,0.49890793,0.13194809,3.6871476,79.999979
1.7399983,-3836.9777,0.21712353,0.49847837,0.13115096,3.7079516,79.999979
1.7499983,-3833.3128,0.21687773,0.49804881,0.13035383,3.7287556,79.999979
1.7599983,-3834.0515,0.21632869,0.49761926,0.1295567,3.7495596,79.999979
1.7699983,-3835.998,0.2166949,0.4971897,0.12875957,3.7703636,79.999979
1.7799983,-3833.9335,0.21648228,0.49676014,0.12796244,3.7911675,79.999979
1.7899983,-3833.9335,0.21681684,0.49633059,0.12716531,3.8119715,79.999979
1.7999983,-3832.3424,0.21724248,0.49590103,0.12636818,3.8327755,79.999979
1.8099983,-3830.9347,0.2173125,0.49547148,0.12557105,3.8535795,79.999979
1.8199983,-3829.6725,0.21587821,0.49504192,0.12477392,3.8743835,79.999979
1.8299983,-3832.1955,0.21624612,0.49461236,0.12397678,3.8951875,79.999979
1.8399982,-3831.5243,0.21665821,0.49418281,0.12317965,3.9159914,79.999979
1.8499982,-3830.4421,0.21691449,0.49375325,0.12238252,3.9367954,79.999979
