level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
950,200,2,0,944.15,2519.08,-3778.77,1.94168,2.76015,0.81847,0
950,200,3,0,943.73,2493.94,-3804.80,1.93133,2.73883,0.80750,0
950,200,4,0,943.05,2369.26,-3790.68,1.93512,2.70732,0.77220,0
950,200,5,0,941.93,2502.77,-3737.96,1.95169,2.76567,0.81399,0
950,200,6,0,943.25,2594.69,-3716.74,1.96233,2.79627,0.83395,0
150,300,1,1,151.77,101.85,-4041.50,1.85938,1.89502,0.03564,0
150,300,2,0,150.30,48.19,-3860.72,1.91691,1.93730,0.02039,0
150,300,3,0,150.79,32.03,-3841.14,1.92272,1.93840,0.01568,0
150,300,4,0,148.52,41.59,-3826.51,1.92752,1.94669,0.01917,0
150,300,5,0,149.99,31.31,-3867.35,1.91091,1.92941,0.01850,0
150,300,6,0,150.92,24.58,-3852.93,1.91693,1.93127,0.01433,0
250,300,1,1,250.39,144.61,-4047.30,1.85698,1.90483,0.04785,0
250,300,2,0,249.31,144.24,-3843.28,1.92214,1.97284,0.05070,0
250,300,3,0,252.96,128.64,-3902.71,1.90021,1.94881,0.04860,0
250,300,4,0,254.07,134.05,-3870.98,1.91210,1.96059,0.04849,0
250,300,5,0,245.76,133.44,-3865.23,1.91541,1.96206,0.04665,0
250,300,6,0,249.70,135.48,-3906.00,1.90006,1.95140,0.05134,0
350,300,1,1,347.53,316.23,-4033.54,1.86150,1.96732,0.10582,0
350,300,2,0,349.75,273.08,-3899.46,1.90209,1.99201,0.08992,0
350,300,3,0,349.89,273.76,-3908.70,1.89912,1.98851,0.08939,0
350,300,4,0,348.89,281.74,-3915.37,1.89657,1.99078,0.09421,0
350,300,5,0,350.40,295.86,-3893.94,1.90556,2.00410,0.09854,0
350,300,6,0,348.14,269.44,-3899.95,1.90207,1.99076,0.08869,0
450,300,1,1,447.70,504.49,-4065.59,1.85132,2.01394,0.16262,0
450,300,2,0,448.46,471.15,-3948.67,1.88417,2.04422,0.16006,0
450,300,3,0,447.07,527.71,-3864.07,1.91640,2.08976,0.17336,0
450,300,4,0,443.79,487.94,-3894.44,1.90271,2.06785,0.16514,0
450,300,5,0,448.54,500.97,-3931.45,1.89223,2.05863,0.16639,0
450,300,6,0,447.04,512.20,-3879.88,1.91084,2.07981,0.16897,0
550,300,1,1,547.23,783.11,-4052.75,1.85504,2.11507,0.26003,0
550,300,2,0,548.26,845.71,-3889.46,1.90626,2.18232,0.27606,0
550,300,3,0,547.59,822.06,-3889.67,1.90632,2.17498,0.26867,0
550,300,4,0,547.83,848.87,-3854.64,1.91791,2.19634,0.27843,0
550,300,5,0,548.04,820.36,-3886.83,1.90492,2.17848,0.27357,0
550,300,6,0,546.98,819.24,-3876.18,1.90739,2.17701,0.26962,0
650,300,1,1,647.53,1239.39,-4049.36,1.85633,2.25744,0.40111,0
650,300,2,0,648.21,1366.45,-3819.22,1.92905,2.37222,0.44317,0
650,300,3,0,647.22,1260.15,-3897.52,1.90206,2.31487,0.41281,0
650,300,4,0,647.01,1264.53,-3870.86,1.91027,2.32608,0.41581,0
650,300,5,0,647.52,1305.12,-3840.26,1.92289,2.34505,0.42217,0
650,300,6,0,646.84,1258.85,-3865.28,1.91204,2.32676,0.41472,0
750,300,1,1,748.05,1911.76,-4070.48,1.84961,2.46974,0.62013,0
750,300,2,0,746.86,2059.13,-3887.31,1.90560,2.57314,0.66755,0
750,300,3,0,746.48,2136.15,-3875.92,1.90913,2.60113,0.69200,0
750,300,4,0,746.87,2045.72,-3868.12,1.91119,2.57528,0.66409,0
750,300,5,0,746.56,2062.60,-3847.81,1.91686,2.58412,0.66727,0
750,300,6,0,747.27,2121.80,-3859.81,1.91466,2.59838,0.68372,0
850,300,1,1,846.73,3172.63,-4070.92,1.84934,2.87126,1.02193,0
850,300,2,0,845.56,3605.49,-3823.78,1.92542,3.09371,1.16830,0
850,300,3,0,844.87,3420.51,-3687.02,1.96728,3.05812,1.09085,0
850,300,4,0,845.69,3371.04,-3713.33,1.95925,3.04667,1.08742,0
850,300,5,0,847.58,3441.38,-3666.44,1.97358,3.07240,1.09882,0
850,300,6,0,845.43,3561.68,-3646.95,1.98321,3.12067,1.13747,0
950,300,1,1,946.07,5808.02,-4049.46,1.85574,3.72711,1.87137,0
950,300,2,0,945.70,6032.95,-3491.30,2.02969,3.99418,1.96450,0
950,300,3,0,945.79,5965.14,-3635.19,1.98327,3.90846,1.92519,0
950,300,4,0,945.63,6122.01,-3458.04,2.04070,4.00944,1.96873,0
950,300,5,0,945.77,6125.65,-3511.65,2.02692,3.99093,1.96401,0
950,300,6,0,944.33,6073.31,-3545.81,2.01421,3.96127,1.94705,0
150,400,1,1,149.42,104.62,-4144.57,1.82519,1.86186,0.03667,0
150,400,2,0,151.36,44.10,-3949.16,1.88594,1.90683,0.02089,0
150,400,3,0,154.62,72.93,-4029.85,1.86098,1.88788,0.02690,0
150,400,4,0,150.81,30.96,-4023.92,1.86269,1.87784,0.01514,0
150,400,5,0,149.26,39.88,-3956.70,1.88397,1.90225,0.01828,0
150,400,6,0,148.31,41.86,-3950.86,1.88609,1.90784,0.02175,0
250,400,1,1,250.26,202.69,-4143.72,1.82495,1.89285,0.06790,0
250,400,2,0,251.75,172.56,-4000.86,1.86798,1.92852,0.06054,0
250,400,3,0,247.68,163.42,-4015.89,1.86443,1.92220,0.05777,0
250,400,4,0,253.43,177.93,-4005.39,1.86809,1.93050,0.06241,0
250,400,5,0,250.28,173.38,-3945.78,1.88741,1.95318,0.06578,0
250,400,6,0,250.39,176.26,-3946.42,1.88654,1.95270,0.06616,0
350,400,1,1,347.08,384.83,-4133.96,1.82824,1.95904,0.13080,0
350,400,2,0,348.02,383.62,-4028.77,1.86184,1.98623,0.12439,0
350,400,3,0,350.26,368.65,-3986.09,1.87402,1.99738,0.12335,0
350,400,4,0,346.13,367.26,-4011.06,1.86770,1.98825,0.12055,0
350,400,5,0,346.02,370.48,-4028.84,1.86141,1.98250,0.12109,0
350,400,6,0,349.46,352.40,-3966.66,1.87992,1.99797,0.11805,0
450,400,1,1,450.13,671.57,-4150.97,1.82241,2.04526,0.22285,0
450,400,2,0,446.43,715.09,-3975.22,1.87735,2.10980,0.23244,0
450,400,3,0,447.98,681.88,-3968.28,1.87820,2.10217,0.22396,0
450,400,4,0,447.23,707.00,-4012.85,1.86655,2.09570,0.22915,0
450,400,5,0,450.53,703.62,-3935.57,1.89024,2.12121,0.23097,0
450,400,6,0,448.07,684.61,-3959.03,1.88044,2.10625,0.22582,0
550,400,1,1,548.67,1145.66,-4005.06,1.86843,2.24120,0.37277,0
550,400,2,0,548.71,1127.17,-3944.52,1.88499,2.25571,0.37072,0
550,400,3,0,548.65,1160.06,-3971.41,1.87589,2.25897,0.38308,0
550,400,4,0,547.94,1133.05,-3939.48,1.88857,2.25909,0.37052,0
550,400,5,0,549.59,1156.22,-4159.48,1.82054,2.19446,0.37392,0
550,400,6,0,547.76,1171.26,-4010.66,1.86698,2.24930,0.38232,0
650,400,1,1,648.31,1847.98,-4160.07,1.82094,2.41765,0.59671,0
650,400,2,0,648.00,2095.36,-3932.56,1.89107,2.56671,0.67564,0
650,400,3,0,648.86,2150.35,-3894.90,1.90468,2.59809,0.69341,0
650,400,4,0,648.96,2175.13,-3873.99,1.91031,2.60785,0.69754,0
650,400,5,0,647.90,2057.26,-3905.18,1.90043,2.56112,0.66069,0
650,400,6,0,648.08,1877.52,-3976.83,1.87486,2.48339,0.60853,0
750,400,1,1,747.35,3320.09,-4154.93,1.82197,2.88808,1.06611,0
750,400,2,0,747.88,3682.50,-3916.03,1.89326,3.07784,1.18458,0
750,400,3,0,747.82,3449.64,-3841.18,1.91869,3.01822,1.09953,0
750,400,4,0,747.24,3680.07,-3779.84,1.94132,3.11071,1.16940,0
750,400,5,0,747.00,3973.62,-3758.43,1.94766,3.23963,1.29197,0
750,400,6,0,747.10,3555.81,-3809.99,1.92772,3.06604,1.13833,0
850,400,1,1,847.74,6143.86,-4151.24,1.82396,3.79764,1.97368,0
850,400,2,0,846.73,6479.25,-3782.31,1.93877,4.00328,2.06451,0
850,400,3,0,846.89,6788.63,-3694.06,1.96551,4.16910,2.20359,0
850,400,4,0,847.36,6513.32,-3793.25,1.93360,4.03118,2.09757,0
850,400,5,0,846.75,6890.98,-3740.79,1.95301,4.18018,2.22717,0
850,400,6,0,846.29,6373.64,-3756.88,1.94522,3.99535,2.05013,0
