sweep,level_mA,heat_ms,cycle,E_int_J,t_heat_s
sweep_20260731_155129,350,200,3,0.10808331746324894,0.199636
sweep_20260731_155129,350,200,4,0.11292670666580922,0.199893
sweep_20260731_155129,350,200,5,0.11059890760294439,0.199038
sweep_20260731_155129,350,200,6,0.11057691010559181,0.199164
sweep_20260731_155129,450,200,1,0.17828237878086167,0.199756
sweep_20260731_155129,450,200,2,0.18082357845993063,0.199052
sweep_20260731_155129,450,200,3,0.17829057263518744,0.199857
sweep_20260731_155129,450,200,4,0.1826768803208764,0.199334
sweep_20260731_155129,450,200,5,0.1819331359918986,0.199501
sweep_20260731_155129,450,200,6,0.17823104019837893,0.199534
sweep_20260731_155129,550,200,1,0.26742522303848937,0.199369
sweep_20260731_155129,550,200,2,0.2696342189388081,0.199979
sweep_20260731_155129,550,200,3,0.2697850450103766,0.199404
sweep_20260731_155129,550,200,4,0.26576643647007625,0.199251
sweep_20260731_155129,550,200,5,0.2686976741942536,0.199432
sweep_20260731_155129,550,200,6,0.2678752503630577,0.199584
sweep_20260731_155129,650,200,1,0.3735633730768113,0.199361
sweep_20260731_155129,650,200,2,0.3741087597291167,0.199655
sweep_20260731_155129,650,200,3,0.3730631120643071,0.199808
sweep_20260731_155129,650,200,4,0.37360580654342,0.199934
sweep_20260731_155129,650,200,5,0.37318033070360734,0.199784
sweep_20260731_155129,650,200,6,0.37151613997972194,0.19929
sweep_20260731_155129,750,200,1,0.5007088872480976,0.199985
sweep_20260731_155129,750,200,2,0.49207521155294276,0.199104
sweep_20260731_155129,750,200,3,0.4922867773216383,0.199379
sweep_20260731_155129,750,200,4,0.4971797286006351,0.199494
sweep_20260731_155129,750,200,5,0.4938124936279572,0.199641
sweep_20260731_155129,750,200,6,0.4941787173959195,0.19963
sweep_20260731_155129,850,200,1,0.636983489756332,0.199591
sweep_20260731_155129,850,200,2,0.6314853204673856,0.199863
sweep_20260731_155129,850,200,3,0.6262215327390541,0.199823
sweep_20260731_155129,850,200,4,0.635136161595307,0.199109
sweep_20260731_155129,850,200,5,0.6315095715899491,0.199128
sweep_20260731_155129,850,200,6,0.6313408131448228,0.199467
sweep_20260731_155129,950,200,1,0.7829484770169161,0.199592
sweep_20260731_155129,950,200,2,0.7798430471288961,0.199881
sweep_20260731_155129,950,200,3,0.783705090569034,0.199033
sweep_20260731_155129,950,200,4,0.7785000662663124,0.199211
sweep_20260731_155129,950,200,5,0.7780557108991015,0.199031
sweep_20260731_155129,950,200,6,0.7783065590272942,0.199535
sweep_20260731_155129,150,300,1,0.03225278934903028,0.299342
sweep_20260731_155129,150,300,2,0.031472369131963523,0.299994
sweep_20260731_155129,150,300,3,0.031798103998455236,0.299003
sweep_20260731_155129,150,300,4,0.030908068544844042,0.299936
sweep_20260731_155129,150,300,5,0.031244581031645784,0.299592
sweep_20260731_155129,150,300,6,0.031449383312221475,0.29938
sweep_20260731_155129,250,300,1,0.08530728270659108,0.299707
sweep_20260731_155129,250,300,2,0.08584971237352088,0.299637
sweep_20260731_155129,250,300,3,0.08796167554285524,0.299375
sweep_20260731_155129,250,300,4,0.08813010367790772,0.299626
sweep_20260731_155129,250,300,5,0.08290028279472741,0.299987
sweep_20260731_155129,250,300,6,0.08519360418060448,0.299991
sweep_20260731_155129,350,300,1,0.16447171415011275,0.299449
sweep_20260731_155129,350,300,2,0.16640737142612577,0.299908
sweep_20260731_155129,350,300,3,0.16636451515569167,0.299927
sweep_20260731_155129,350,300,4,0.16336358280824925,0.29973
sweep_20260731_155129,350,300,5,0.16714897631931624,0.299557
sweep_20260731_155129,350,300,6,0.1639979859409189,0.299154
sweep_20260731_155129,450,300,1,0.27003926539825024,0.299062
sweep_20260731_155129,450,300,2,0.2697111186069461,0.299862
sweep_20260731_155129,450,300,3,0.2696344715488607,0.299984
sweep_20260731_155129,450,300,4,0.2668674143993995,0.299464
sweep_20260731_155129,450,300,5,0.27164385149845244,0.299988
sweep_20260731_155129,450,300,6,0.27010492926215157,0.299991
sweep_20260731_155129,550,300,1,0.3987424478053801,0.299662
sweep_20260731_155129,550,300,2,0.40189766867674354,0.299494
sweep_20260731_155129,550,300,3,0.40050477801493295,0.299296
sweep_20260731_155129,550,300,4,0.40225945558572174,0.299771
sweep_20260731_155129,550,300,5,0.4034829789338109,0.2998
sweep_20260731_155129,550,300,6,0.40078656759093045,0.29951
sweep_20260731_155129,650,300,1,0.561116529953223,0.299613
sweep_20260731_155129,650,300,2,0.5595117298123269,0.299991
sweep_20260731_155129,650,300,3,0.5583083402926381,0.299204
sweep_20260731_155129,650,300,4,0.5566222700261965,0.29993
sweep_20260731_155129,650,300,5,0.5584487919258593,0.299994
sweep_20260731_155129,650,300,6,0.5570936963881099,0.299446
sweep_20260731_155129,750,300,1,0.7472847335927291,0.299985
sweep_20260731_155129,750,300,2,0.7380448142100132,0.29999
sweep_20260731_155129,750,300,3,0.7391663777088,0.299805
sweep_20260731_155129,750,300,4,0.7381236975717747,0.299513
sweep_20260731_155129,750,300,5,0.736719501476131,0.299326
