level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,n_samples,sweep,run_type,i_low_mA,seeded
350,300,6,0,30.0,349.7098732876712,1.570308660958904,4.490318349311141,99.9,269.6971827878151,-3900.2019172581604,186.4521042062969,8.70379223411452,0,0,292,sweep_20260731_155129,map,0,1
450,300,1,1,30.0,449.4301883561644,2.0035451198630136,4.457967381299372,99.9,504.21230950677955,-4065.317097215761,181.4951821217594,15.933168611404263,0,0,292,sweep_20260731_155129,map,0,1
450,300,2,0,30.0,450.1588074324324,2.0047217331081084,4.453365567903526,100.0,471.16946951534555,-3948.697813971369,184.70472311830903,15.692493421161622,0,0,296,sweep_20260731_155129,map,0,1
450,300,3,0,30.0,449.4687288135593,1.9987507288135595,4.446918329756921,99.9,527.5918772968153,-3863.9538959122574,187.87286123657802,16.988486426802385,0,0,295,sweep_20260731_155129,map,0,1
450,300,4,0,30.0,446.01738831615125,1.9988780756013746,4.481614681319345,99.1,488.1099719616609,-3894.6111963308026,186.52270357079865,16.190689042821372,0,0,291,sweep_20260731_155129,map,0,1
450,300,5,0,30.0,450.3306677966102,2.0087647864406777,4.460643989158489,100.1,500.85393010133885,-3931.3368768902906,185.50014792662117,16.30871357275772,0,0,295,sweep_20260731_155129,map,0,1
450,300,6,0,30.0,449.18292808219167,2.0026359349315066,4.458397258065568,99.8,512.1168520627939,-3879.79894391054,187.3231096852643,16.56302658497949,0,0,292,sweep_20260731_155129,map,0,1
550,300,1,1,30.0,548.8377559322034,2.4216788305084744,4.41237652536357,99.8,782.9919468088997,-4052.635841366146,181.85236833886734,25.489945341551742,0,0,295,sweep_20260731_155129,map,0,1
550,300,2,0,30.0,550.5888321917807,2.4347023116438353,4.42199726781923,100.1,845.7090602387302,-3889.455093526915,186.87552196669583,27.05897761469464,0,0,292,sweep_20260731_155129,map,0,1
550,300,3,0,30.0,549.9118277027028,2.434019084459459,4.426198822869029,100.0,822.044456525935,-3889.6577074443576,186.88546950411722,26.330267518519985,0,0,296,sweep_20260731_155129,map,0,1
550,300,4,0,30.0,550.3616474576271,2.43761333559322,4.429111924592991,100.1,848.8330821616491,-3854.6016935746043,188.01593368503202,27.293449268769084,0,0,295,sweep_20260731_155129,map,0,1
550,300,5,0,30.0,550.8423817567568,2.4472998006756757,4.442831346547267,100.2,820.1715643631205,-3886.6357496738924,186.7510927457753,26.8076543959396,0,0,296,sweep_20260731_155129,map,0,1
550,300,6,0,30.0,549.3423966101694,2.4344431186440683,4.431558775849637,99.9,819.2893667210928,-3876.2235393698115,186.97539107573482,26.439054581189477,0,0,295,sweep_20260731_155129,map,0,1
650,300,1,1,30.0,650.3307610921503,2.877443686006826,4.424584931480889,100.1,1239.1669957439094,-4049.1404524099044,181.9811233236127,39.31794761979898,0,0,293,sweep_20260731_155129,map,0,1
650,300,2,0,30.0,651.2466013745703,2.862615570446735,4.395593872435851,100.2,1366.4156167587862,-3819.188369066121,189.11340558476303,43.437161905417085,0,0,291,sweep_20260731_155129,map,0,1
650,300,3,0,30.0,650.3304309764311,2.868442962962963,4.4107469469884295,100.1,1260.0257549438452,-3897.4003166033344,186.46213401275483,40.46685151729076,0,0,297,sweep_20260731_155129,map,0,1
650,300,4,0,30.0,650.2927903780069,2.858678594501718,4.3959869105115015,100.0,1264.5920864835675,-3870.9177704650056,187.26258342613258,40.76542652374159,0,0,291,sweep_20260731_155129,map,0,1
650,300,5,0,30.0,650.4466938775511,2.8608932040816324,4.3983515190565425,100.1,1305.0452586919605,-3840.1790963980043,188.50352682839215,41.384325356161085,0,0,294,sweep_20260731_155129,map,0,1
650,300,6,0,30.0,650.6384573378839,2.8684632389078497,4.408689966843174,100.1,1258.9338301278726,-3865.3639746190966,187.4403516344046,40.65431932746524,0,0,293,sweep_20260731_155129,map,0,1
750,300,1,1,30.0,750.8274305084745,3.3177149966101696,4.418745056188677,100.1,1911.271067035511,-4069.9935108619843,181.33689956337446,60.77413144868407,0,0,295,sweep_20260731_155129,map,0,1
750,300,2,0,30.0,750.2932169491526,3.2858829152542373,4.37946504250074,100.0,2059.0394018115553,-3887.2166509785197,186.81223913063488,65.43538300256459,0,0,295,sweep_20260731_155129,map,0,1
750,300,3,0,30.0,750.5773401360543,3.283740119047619,4.374952377928686,100.1,2136.0571949544565,-3875.8287111468017,187.17157477151244,67.81944209800862,0,0,294,sweep_20260731_155129,map,0,1
750,300,4,0,30.0,750.9538576271186,3.2818316779661014,4.370217483582958,100.1,2045.7891161411906,-3868.1848778626686,187.35848753399776,65.09892072518807,0,0,295,sweep_20260731_155129,map,0,1
750,300,5,0,30.0,750.6512382550336,3.2781635369127518,4.367092692117822,100.1,2062.895507675885,-3848.101319057445,187.9087266767498,65.41527473837968,0,0,298,sweep_20260731_155129,map,0,1
750,300,6,0,30.0,750.9910986394558,3.2899393197278908,4.380796690783897,100.1,2121.7077880463794,-3859.7095021402283,187.69862382642236,67.02300412991623,0,0,294,sweep_20260731_155129,map,0,1
850,300,1,1,30.0,849.9280410958904,3.686421917808219,4.337334150141671,100.0,3172.5418911931374,-4070.82775308917,181.2998429837602,100.17265302463913,0,0,292,sweep_20260731_155129,map,0,1
850,300,2,0,30.0,850.7327687074829,3.6757965884353743,4.320741745989174,100.1,3605.404947059338,-3823.6910585090554,188.74678713529323,114.53278060758824,0,0,294,sweep_20260731_155129,map,0,1
850,300,3,0,30.0,850.6597094594595,3.653851077702702,4.295314609439412,100.1,3420.410374311294,-3686.9190730191403,192.8650320483768,106.9256159637315,0,0,296,sweep_20260731_155129,map,0,1
850,300,4,0,30.0,850.9273412969283,3.662635737201365,4.304287286878117,100.1,3370.9703882867516,-3713.261169132721,192.06229227870568,106.60590192847562,0,0,293,sweep_20260731_155129,map,0,1
850,300,5,0,30.0,852.0299865771813,3.6805581711409396,4.319751920852772,100.2,3441.468313739104,-3666.526278621321,193.46833962235604,107.72169948716127,0,0,298,sweep_20260731_155129,map,0,1
850,300,6,0,30.0,850.4735646258504,3.6660212142857147,4.3105645686923975,100.1,3561.5055630639445,-3646.7772861483327,194.4197923197375,111.50259045607217,0,0,294,sweep_20260731_155129,map,0,1
950,300,1,1,30.0,950.1736849315068,4.071102613013698,4.284587836493454,100.0,5807.778529480859,-4049.2258297492162,181.92813844433235,183.44361316911204,0,0,292,sweep_20260731_155129,map,0,1
950,300,2,0,30.0,950.9109695945947,4.03551222972973,4.243838128663302,100.1,6033.023144906707,-3491.3802247053104,198.97261846473936,192.58093182630276,0,0,296,sweep_20260731_155129,map,0,1
950,300,3,0,30.0,951.1992142857142,4.054027639455783,4.26201743921759,100.1,5965.009670137461,-3635.057981874175,194.42467248565794,188.7246887489306,0,0,294,sweep_20260731_155129,map,0,1
950,300,4,0,30.0,951.175660958904,4.039766438356164,4.2471297407710935,100.1,6122.1249624138745,-3458.1567763966386,200.0432994398867,193.00551616875822,0,0,292,sweep_20260731_155129,map,0,1
950,300,5,0,30.0,951.641698630137,4.027440410958905,4.23209745512024,100.2,6125.636070617102,-3511.632149973087,198.7046588212211,192.5298008903418,0,0,292,sweep_20260731_155129,map,0,1
950,300,6,0,30.0,951.2080578231293,4.035542785714286,4.242544785574838,100.1,6073.203559004249,-3545.702984743166,197.45731260682032,190.8690604564316,0,0,294,sweep_20260731_155129,map,0,1
150,400,1,1,30.0,149.79633548387093,0.6876557354838709,4.590604524887814,99.9,109.86843505475053,-4156.125998474994,178.58853355243002,3.9006922689049466,0,0,155,sweep_20260731_155129,map,0,1
150,400,2,0,30.0,152.03994696969698,0.7093573762626263,4.665598682456842,101.4,44.11465751593096,-3949.1757622562286,184.87918214087162,2.0490788939747535,0,0,396,sweep_20260731_155129,map,0,1
150,400,3,0,30.0,155.0612377260982,0.7047923746770025,4.545251830905382,103.4,72.9213750861054,-4029.8451140793964,182.43436119430524,2.636410347461913,0,0,387,sweep_20260731_155129,map,0,1
150,400,4,0,30.0,151.32934605597964,0.7024006641221375,4.641536373667445,100.9,31.099590605572757,-4024.0581877632594,182.59662982394124,1.4895193582899127,0,0,393,sweep_20260731_155129,map,0,1
150,400,5,0,30.0,149.80646253229975,0.6941297054263565,4.63350975447201,99.9,39.87668357987286,-3956.693613383056,184.68981981430522,1.7896557603703225,0,0,387,sweep_20260731_155129,map,0,1
150,400,6,0,30.0,148.7942290076336,0.6844152264631044,4.5997430883424375,99.2,41.55879531657547,-3950.5592665893955,184.91023945950246,2.116738691637493,0,0,393,sweep_20260731_155129,map,0,1
250,400,1,1,30.0,250.93299999999996,1.1364808556962025,4.529021115979973,100.4,202.47694978513573,-4143.508629299191,178.90817790220612,6.649317058029364,0,0,395,sweep_20260731_155129,map,0,1
250,400,2,0,30.0,252.29136868686862,1.1539408156565656,4.573841830826876,100.9,172.7225785581395,-4001.0232883090466,183.11633623146034,5.938215024247799,0,0,396,sweep_20260731_155129,map,0,1
250,400,3,0,30.0,248.1363427835052,1.1298548556701031,4.553363054342598,99.3,163.41783558382258,-4015.8850825026225,182.7716523255346,5.663539704013778,0,0,388,sweep_20260731_155129,map,0,1
250,400,4,0,30.0,254.06653333333335,1.1430872538461538,4.499164997644267,101.6,177.9337753051982,-4005.388756698026,183.12118487089495,6.127369535900551,0,0,390,sweep_20260731_155129,map,0,1
