pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56532000,0.92093000,395536296,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56534000,0.92057400,395383535,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56536000,0.92057400,395383535,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56538000,0.92020900,395226721,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56540000,0.92030500,395268192,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56542000,0.92096700,395552328,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56544000,0.92131800,395703153,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56546000,0.92131800,395703153,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56548000,0.92136300,395722299,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56550000,0.92118400,395645296,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56552000,0.92042300,395318699,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56554000,0.92035000,395287176,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56556000,0.92066700,395423384,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56558000,0.92066700,395423384,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56560000,0.92114000,395626722,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56562000,0.92111700,395616766,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56564000,0.92128700,395689727,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56566000,0.92082100,395489539,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56568000,0.92082100,395489539,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56570000,0.92025800,395247569,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56572000,0.92005900,395162538,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56574000,0.92033900,395282381,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56576000,0.92102400,395576797,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56578000,0.92141000,395742588,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56580000,0.92141000,395742588,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56582000,0.92085000,395501990,1
