host_timestamp_s,monotonic_s,fields_json
1784146128.217016,56007.359000,"{""t_ms"":3559040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3691265085,""m4_us"":3689001916,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":3132,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146129.225812,56008.375000,"{""t_ms"":3560040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3692302064,""m4_us"":3690039126,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":3169,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146130.204742,56009.359000,"{""t_ms"":3561040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3693339457,""m4_us"":3691076396,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":2920,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146130.912518,56010.062000,"{""t_ms"":3562040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3694376640,""m4_us"":3692113715,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":3078,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146131.705631,56010.859000,"{""t_ms"":3563040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3695413978,""m4_us"":3693151078,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":3143,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146132.481288,56011.625000,"{""t_ms"":3564040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3696451388,""m4_us"":3694188486,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":19,""loop_us_max"":2852,""loop_hz"":52631,""cycle_log_ms"":1,""n_cycle"":4}"
1784146133.256903,56012.406000,"{""t_ms"":3565040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3697488845,""m4_us"":3695225923,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":19,""loop_us_max"":2838,""loop_hz"":52631,""cycle_log_ms"":1,""n_cycle"":4}"
1784146134.110659,56013.265000,"{""t_ms"":3566040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3698526639,""m4_us"":3696263436,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":19,""loop_us_max"":2992,""loop_hz"":52631,""cycle_log_ms"":1,""n_cycle"":4}"
1784146134.954964,56014.109000,"{""t_ms"":3567040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3699563915,""m4_us"":3697300898,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":4327,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
1784146135.761616,56014.906000,"{""t_ms"":3568040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3700601309,""m4_us"":3698338399,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":19,""loop_us_max"":2931,""loop_hz"":52631,""cycle_log_ms"":1,""n_cycle"":4}"
1784146136.622685,56015.765000,"{""t_ms"":3569040,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":107759,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":3701638866,""m4_us"":3699375938,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":20,""loop_us_max"":2855,""loop_hz"":50000,""cycle_log_ms"":1,""n_cycle"":4}"
