pass_index,sweep_index,direction,target_mm,stage_actual_mm,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,-0.000040,6477000,2.49152600,1070102246,1
-1,-1,baseline_pre,0.000000,-0.000040,6480000,2.49104500,1069895863,1
-1,-1,baseline_pre,0.000000,-0.000040,6483000,2.49052700,1069673242,1
-1,-1,baseline_pre,0.000000,-0.000040,6486000,2.49118700,1069956748,1
-1,-1,baseline_pre,0.000000,-0.000040,6489000,2.49129200,1070001734,1
-1,-1,baseline_pre,0.000000,-0.000040,6492000,2.49148900,1070086399,1
-1,-1,baseline_pre,0.000000,-0.000040,6495000,2.49114200,1069937316,1
-1,-1,baseline_pre,0.000000,-0.000040,6498000,2.49053400,1069676067,1
-1,-1,baseline_pre,0.000000,-0.000040,6501000,2.49110000,1069919195,1
-1,-1,baseline_pre,0.000000,-0.000040,6504000,2.49132400,1070015654,1
-1,-1,baseline_pre,0.000000,-0.000040,6507000,2.49177000,1070207174,1
-1,-1,baseline_pre,0.000000,-0.000040,6510000,2.49124900,1069983102,1
-1,-1,baseline_pre,0.000000,-0.000040,6513000,2.49054700,1069681807,1
-1,-1,baseline_pre,0.000000,-0.000040,6516000,2.49100800,1069879681,1
-1,-1,baseline_pre,0.000000,-0.000040,6519000,2.49136400,1070032448,1
-1,-1,baseline_pre,0.000000,-0.000040,6522000,2.49175000,1070198533,1
-1,-1,baseline_pre,0.000000,-0.000040,6525000,2.49134700,1070025270,1
-1,-1,baseline_pre,0.000000,-0.000040,6528000,2.49056700,1069690383,1
-1,-1,baseline_pre,0.000000,-0.000040,6531000,2.49091400,1069839246,1
-1,-1,baseline_pre,0.000000,-0.000040,6534000,2.49140100,1070048745,1
-1,-1,baseline_pre,0.000000,-0.000040,6537000,2.49171100,1070181559,1
-1,-1,baseline_pre,0.000000,-0.000040,6540000,2.49144700,1070068530,1
-1,-1,baseline_pre,0.000000,-0.000040,6543000,2.49060200,1069705292,1
-1,-1,baseline_pre,0.000000,-0.000040,6546000,2.49082100,1069799680,1
-1,-1,baseline_pre,0.000000,-0.000040,6549000,2.49133900,1070021884,1
-1,-1,baseline_pre,0.000000,-0.000040,6552000,2.49168000,1070168595,1
