t_rel_s,displacement_um,force_N,stage_mm
10.93999,-4960.5846,0.21590085,79.999979
10.94999,-4960.7016,0.21666686,79.999979
10.95999,-4958.0731,0.21601221,79.999979
10.96999,-4959.7351,0.21669673,79.999979
10.97999,-4957.155,0.21592789,79.999979
10.98999,-4959.3202,0.21656083,79.999979
10.99999,-4960.1423,0.21618311,79.999979
11.00999,-4960.8659,0.21584618,79.999979
11.019989,-4959.5777,0.21577462,79.999979
11.029989,-4959.9488,0.21557123,79.999979
11.039989,-4958.4442,0.21462755,79.999979
11.049989,-4960.4438,0.21658318,79.999979
11.059989,-4960.4539,0.21642137,79.999979
11.069989,-4960.4109,0.21594403,79.999979
11.079989,-4958.3355,0.21567746,79.999979
11.089989,-4960.6478,0.2156164,79.999979
11.099989,-4957.7505,0.21586826,79.999979
11.109989,-4959.8389,0.21525239,79.999979
11.119989,-4961.0785,0.21539912,79.999979
11.129989,-4961.0785,0.21542682,79.999979
11.139989,-4958.6534,0.2163788,79.999979
11.149989,-4957.7542,0.21495438,79.999979
11.159989,-4959.0114,0.21598742,79.999979
11.169989,-4959.2401,0.21608376,79.999979
11.179989,-4959.0491,0.21577509,79.999979
11.189989,-4957.5717,0.21582491,79.999979
11.199989,-4956.911,0.21584949,79.999979
11.209989,-4958.457,0.21558173,79.999979
11.219989,-4960.6526,0.21556137,79.999979
11.229989,-4959.0413,0.2162239,79.999979
11.239989,-4957.2763,0.21598807,79.999979
11.249989,-4960.2256,0.21589872,79.999979
11.259989,-4958.0251,0.21598347,79.999979
11.269989,-4958.0251,0.21625553,79.999979
11.279989,-4960.2033,0.21595232,79.999979
11.289989,-4956.5867,0.21561637,79.999979
11.299989,-4956.9579,0.21498839,79.999979
11.309989,-4960.5893,0.21628835,79.999979
11.319989,-4958.5296,0.2152344,79.999979
11.329989,-4957.2277,0.21484777,79.999979
11.339989,-4958.8914,0.21646137,79.999979
11.349989,-4960.0133,0.21572353,79.999979
11.359989,-4956.8464,0.21541413,79.999979
11.369989,-4960.5153,0.21607257,79.999979
11.379989,-4957.3353,0.21578119,79.999979
11.389989,-4956.9821,0.2161593,79.999979
11.399989,-4958.2139,0.21621642,79.999979
11.409989,-4958.3922,0.21552367,79.999979
11.419989,-4957.6773,0.21646533,79.999979
11.429989,-4960.1628,0.21536701,79.999979
11.439989,-4956.8077,0.21665354,79.999979
11.449989,-4956.9303,0.21665354,79.999979
11.459989,-4958.111,0.2156612,79.999979
11.469989,-4959.4051,0.21505701,79.999979
11.479989,-4959.4835,0.21761816,79.999979
11.489989,-4960.4036,0.21473929,79.999979
11.499989,-4957.1951,0.21576833,79.999979
11.509989,-4957.7149,0.21604964,79.999979
11.519989,-4958.0733,0.21646071,79.999979
11.529989,-4958.1448,0.21610967,79.999979
11.539989,-4960.5361,0.21625209,79.999979
11.549989,-4959.1564,0.21503438,79.999979
11.559989,-4957.1452,0.21527535,79.999979
11.569989,-4957.9094,0.21518448,79.999979
11.579989,-4958.3432,0.21540238,79.999979
11.589989,-4957.8483,0.21600447,79.999979
11.599989,-4960.6927,0.21578911,79.999979
11.609989,-4958.171,0.21669089,79.999979
11.619989,-4957.3986,0.21651267,79.999979
11.629989,-4958.4022,0.21645675,79.999979
11.639989,-4959.0627,0.21658848,79.999979
11.649989,-4958.6193,0.21670902,79.999979
11.659989,-4958.2257,0.21572673,79.999979
11.669989,-4958.3279,0.21593263,79.999979
11.679989,-4957.4384,0.21620016,79.999979
11.689989,-4958.3766,0.21588495,79.999979
11.699989,-4959.7061,0.21585415,79.999979
11.709989,-4960.6346,0.21559659,79.999979
11.719989,-4957.4595,0.21571426,79.999979
11.729989,-4957.768,0.21466567,79.999979
11.739989,-4956.9985,0.21506004,79.999979
11.749989,-4960.2334,0.21498123,79.999979
11.759989,-4961.0323,0.21498123,79.999979
11.769989,-4959.9206,0.21555304,79.999979
11.779989,-4958.4634,0.21520094,79.999979
11.789989,-4956.9555,0.21611414,79.999979
11.799989,-4957.2718,0.21491219,79.999979
11.809989,-4959.2866,0.21529667,79.999979
11.819989,-4960.7411,0.21516884,79.999979
