Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"5.8200","5.7682","174.2325"
"5.8400","5.7878","174.8262"
"5.8600","5.8077","175.5060"
"5.8800","5.8286","175.8573"
"5.9000","5.8498","176.5229"
"5.9200","5.8700","177.1102"
"5.9400","5.8896","177.9681"
"5.9600","5.9086","178.3933"
"5.9800","5.9285","179.2576"
"6.0000","5.9494","179.5642"
"6.0200","5.9694","180.3021"
"6.0400","5.9894","180.9845"
"6.0600","6.0093","181.4261"
"6.0800","6.0291","182.0793"
"6.1000","6.0497","182.4149"
"6.1200","6.0695","183.2293"
"6.1400","6.0889","183.7229"
"6.1600","6.1084","184.4313"
"6.1800","6.1283","185.0784"
"6.2000","6.1492","185.7055"
"6.2200","6.1696","186.3732"
"6.2400","6.1892","186.8415"
"6.2600","6.2090","187.6133"
"6.2800","6.2286","188.4071"
"6.3000","6.2490","188.8436"
"6.3200","6.2690","189.6821"
"6.3400","6.2885","190.2483"
"6.3600","6.3089","190.6261"
"6.3800","6.3292","191.1917"
"6.4000","6.3495","192.0009"
"6.4200","6.3699","192.6783"
"6.4400","6.3899","193.5709"
"6.4600","6.4097","194.1330"
"6.4800","6.4291","194.6224"
"6.5000","6.4486","195.1784"
"6.5200","6.4684","195.7411"
"6.5400","6.4878","196.6497"
"6.5600","6.5078","197.1956"
"6.5800","6.5288","197.5036"
"6.6000","6.5493","198.1676"
"6.6200","6.5697","198.5685"
"6.6400","6.5890","199.4367"
"6.6600","6.6083","200.1541"
"6.6800","6.6287","200.6720"
"6.7000","6.6492","201.2667"
"6.7200","6.6699","202.0397"
"6.7400","6.6894","202.4131"
"6.7600","6.7084","203.2047"
"6.7800","6.7282","203.5523"
"6.8000","6.7484","204.1870"
"6.8200","6.7690","204.9065"
"6.8400","6.7894","205.3557"
"6.8600","6.8090","205.9746"
"6.8800","6.8292","206.6811"
"6.9000","6.8493","206.8426"
"6.9200","6.8694","207.7891"
"6.9400","6.8891","208.4340"
"6.9600","6.9084","209.4671"
"6.9800","6.9286","209.9136"
"7.0000","6.9492","210.3963"
"7.0200","6.9695","210.9093"
"7.0400","6.9899","211.4563"
"7.0600","7.0093","212.6107"
"7.0800","7.0288","213.3421"
"7.1000","7.0491","213.6136"
"7.1200","7.0693","213.9951"
"7.1400","7.0895","215.0206"
"7.1600","7.1090","215.5907"
"7.1800","7.1287","216.0491"
"7.2000","7.1492","216.5164"
"7.2200","7.1693","217.3606"
"7.2400","7.1892","218.0095"
"7.2600","7.2084","218.4322"
"7.2800","7.2281","219.1121"
"7.3000","7.2488","219.2933"
"7.3200","7.2689","220.5100"
"7.3400","7.2886","220.6837"
"7.3600","7.3086","221.3222"
"7.3800","7.3287","222.1792"
"7.4000","7.3493","222.8929"
"7.4200","7.3695","223.7706"
"7.4400","7.3898","223.9348"
"7.4600","7.4103","224.5651"
"7.4800","7.4302","225.3675"
"7.5000","7.4501","225.8091"
"7.5200","7.4695","226.2889"
"7.5400","7.4888","227.4480"
"7.5600","7.5086","227.7390"
"7.5800","7.5285","228.6064"
"7.6000","7.5489","229.1396"
"7.6200","7.5691","229.9863"
"7.6400","7.5889","230.8804"
"7.6600","7.6093","230.9545"
"7.6800","7.6295","231.3984"
"7.7000","7.6495","231.9363"
"7.7200","7.6695","232.5229"
"7.7400","7.6890","233.4613"
"7.7600","7.7093","234.2719"
"7.7800","7.7296","234.4572"
"7.8000","7.7498","235.0668"
"7.8200","7.7701","235.6137"
"7.8400","7.7896","236.5036"
"7.8600","7.8093","237.0517"
"7.8800","7.8291","237.4355"
"7.9000","7.8484","238.2891"
"7.9200","7.8684","238.9082"
"7.9400","7.8886","239.7647"
"7.9600","7.9086","240.0514"
"7.9800","7.9287","240.4646"
"8.0000","7.9485","241.3302"
