host_timestamp_s,monotonic_s,fields_json
1783958651.159811,1125294.265000,"{""t_ms"":154291,""hwm"":256,""cap"":256,""dropped"":70,""dropped_total"":70,""crc_err"":0,""crc_err_total"":0,""rate1"":475,""rate2"":474,""prod1"":477,""prod2"":476,""sma_state"":6,""m7_us"":157878407,""m4_us"":155615690,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958652.467978,1125295.562000,"{""t_ms"":155291,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":70,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":158914556,""m4_us"":156651828,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958653.702940,1125296.796000,"{""t_ms"":156291,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":70,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":159950666,""m4_us"":157688013,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958655.048336,1125298.140000,"{""t_ms"":157293,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":70,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":511,""prod1"":511,""prod2"":511,""sma_state"":6,""m7_us"":160988919,""m4_us"":158726256,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958656.161035,1125299.265000,"{""t_ms"":158293,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":70,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":162025183,""m4_us"":159762458,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958656.790672,1125299.890000,"{""t_ms"":159293,""hwm"":256,""cap"":256,""dropped"":383,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":317,""rate2"":320,""prod1"":320,""prod2"":321,""sma_state"":6,""m7_us"":163061285,""m4_us"":160798580,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958657.975441,1125301.078000,"{""t_ms"":160295,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":511,""prod1"":511,""prod2"":511,""sma_state"":6,""m7_us"":164099445,""m4_us"":161836653,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958659.089953,1125302.187000,"{""t_ms"":161295,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":165135500,""m4_us"":162872778,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958660.346126,1125303.453000,"{""t_ms"":162295,""hwm"":7,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":166171648,""m4_us"":163908922,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958661.658967,1125304.765000,"{""t_ms"":163297,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":511,""prod1"":511,""prod2"":511,""sma_state"":6,""m7_us"":167209854,""m4_us"":164947088,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958662.862877,1125305.968000,"{""t_ms"":164297,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":168246067,""m4_us"":165983268,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958664.053045,1125307.156000,"{""t_ms"":165297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":169282324,""m4_us"":167019476,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
