host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1783958620.917606,1125264.015000,124919000,1,laser,4.97291600,2135851216,126360423,60470
1783958620.918606,1125264.015000,124920000,2,load,2.34507300,3934380,126361438,60470
1783958620.919606,1125264.015000,124921000,1,laser,4.97291600,2135851216,126362445,60471
1783958620.920111,1125264.015000,124922000,2,load,2.34507300,3934380,126363461,60471
1783958620.921116,1125264.015000,124923000,1,laser,4.97146600,2135228220,126364468,60472
1783958620.922116,1125264.015000,124924000,2,load,2.35294700,3947590,126365483,60472
1783958620.929115,1125264.031000,124925000,1,laser,4.97136200,2135183727,126366496,60473
1783958620.937127,1125264.031000,124926000,2,load,2.34758300,3938590,126367512,60473
1783958620.945546,1125264.046000,124927000,1,laser,4.97176800,2135358202,126368519,60474
1783958620.946597,1125264.046000,124928000,2,load,2.34119900,3927880,126369553,60474
1783958620.952908,1125264.046000,124929000,1,laser,4.97210100,2135500923,126370548,60475
1783958620.952908,1125264.046000,124930000,2,load,2.35593900,3952610,126371557,60475
1783958620.953914,1125264.046000,124931000,1,laser,4.97310100,2135930590,126372570,60476
1783958620.953914,1125264.046000,124932000,2,load,2.35593900,3952610,126373579,60476
1783958620.954915,1125264.046000,124933000,1,laser,4.97310100,2135930590,126374592,60477
1783958620.954915,1125264.046000,124934000,2,load,2.35803700,3956130,126375608,60477
1783958620.954915,1125264.046000,124935000,1,laser,4.97300800,2135890622,126376615,60478
1783958620.955913,1125264.062000,124936000,2,load,2.35234500,3946580,126377630,60478
1783958620.955913,1125264.062000,124937000,1,laser,4.97148000,2135234494,126378644,60479
1783958620.956912,1125264.062000,124938000,2,load,2.34689100,3937430,126379653,60479
1783958620.956912,1125264.062000,124939000,1,laser,4.97134400,2135176067,126380666,60480
1783958620.957913,1125264.062000,124940000,2,load,2.34613400,3936160,126381681,60480
1783958620.957913,1125264.062000,124941000,1,laser,4.97191600,2135421608,126382688,60481
1783958620.958913,1125264.062000,124942000,2,load,2.33306300,3914230,126383704,60481
1783958620.958913,1125264.062000,124943000,1,laser,4.97191600,2135421608,126384711,60482
1783958620.958913,1125264.062000,124944000,2,load,2.33306300,3914230,126385726,60482
1783958620.959912,1125264.062000,124945000,1,laser,4.97203800,2135474094,126386740,60483
1783958620.959912,1125264.062000,124946000,2,load,2.34797000,3939240,126387749,60483
1783958620.959912,1125264.062000,124947000,1,laser,4.97297200,2135875268,126388762,60484
1783958620.961417,1125264.062000,124948000,2,load,2.35483600,3950760,126389777,60484
1783958620.961417,1125264.062000,124949000,1,laser,4.97316000,2135956118,126390784,60485
1783958620.962424,1125264.062000,124950000,2,load,2.33790900,3922360,126391800,60485
1783958620.962424,1125264.062000,124951000,1,laser,4.97155500,2135266403,126392807,60486
1783958620.963423,1125264.062000,124952000,2,load,2.34361300,3931930,126393822,60486
1783958620.963423,1125264.062000,124953000,1,laser,4.97155500,2135266403,126394836,60487
1783958620.964424,1125264.062000,124954000,2,load,2.34361300,3931930,126395845,60487
1783958620.964424,1125264.062000,124955000,1,laser,4.97128000,2135148452,126396858,60488
1783958620.964424,1125264.062000,124956000,2,load,2.34633700,3936500,126397873,60488
1783958620.965427,1125264.062000,124957000,1,laser,4.97188300,2135407418,126398880,60489
1783958620.965427,1125264.062000,124958000,2,load,2.33542900,3918200,126399896,60489
1783958620.966424,1125264.062000,124959000,1,laser,4.97191100,2135419589,126400909,60490
1783958620.966424,1125264.062000,124960000,2,load,2.34015000,3926120,126401918,60490
1783958620.967357,1125264.062000,124961000,1,laser,4.97286200,2135827821,126402932,60491
1783958620.967863,1125264.062000,124962000,2,load,2.33864800,3923600,126403947,60491
1783958620.968391,1125264.062000,124963000,1,laser,4.97325400,2135996289,126404954,60492
1783958620.968391,1125264.062000,124964000,2,load,2.33864800,3923600,126405969,60492
1783958620.969398,1125264.062000,124965000,1,laser,4.97325400,2135996289,126406983,60493
1783958620.969398,1125264.062000,124966000,2,load,2.34011400,3926060,126407992,60493
1783958620.970399,1125264.062000,124967000,1,laser,4.97177100,2135359520,126409005,60494
1783958620.970399,1125264.062000,124968000,2,load,2.34179500,3928880,126410021,60494
1783958620.971396,1125264.078000,124969000,1,laser,4.97124600,2135133834,126411028,60495
1783958620.971396,1125264.078000,124970000,2,load,2.35341800,3948380,126412043,60495
1783958620.976396,1125264.078000,124971000,1,laser,4.97184600,2135391668,126413050,60496
1783958620.979172,1125264.078000,124972000,2,load,2.34756500,3938560,126414065,60496
1783958620.991366,1125264.093000,124973000,1,laser,4.97195400,2135438169,126415079,60497
1783958620.991366,1125264.093000,124974000,2,load,2.33907700,3924320,126416088,60497
1783958620.992366,1125264.093000,124975000,1,laser,4.97195400,2135438169,126417101,60498
1783958620.997366,1125264.093000,124976000,2,load,2.33907700,3924320,126418117,60498
1783958620.997366,1125264.093000,124977000,1,laser,4.97275700,2135782991,126419124,60499
1783958620.998365,1125264.093000,124978000,2,load,2.33246100,3913220,126420139,60499
1783958621.000355,1125264.093000,124980000,2,load,2.33908900,3924340,126422161,60500
1783958621.000355,1125264.093000,124981000,1,laser,4.97187200,2135402876,126423175,60501
1783958621.000355,1125264.093000,124982000,2,load,2.35146900,3945110,126424184,60501
1783958621.001359,1125264.093000,124983000,1,laser,4.97128800,2135151896,126425197,60502
1783958621.001359,1125264.093000,124984000,2,load,2.34870300,3940470,126426213,60502
1783958621.002359,1125264.109000,124985000,1,laser,4.97128800,2135151896,126427220,60503
1783958621.002359,1125264.109000,124986000,2,load,2.34870300,3940470,126428235,60503
1783958621.003359,1125264.109000,124987000,1,laser,4.97180000,2135371717,126429248,60504
1783958621.003359,1125264.109000,124988000,2,load,2.35971800,3958950,126430257,60504
1783958621.004359,1125264.109000,124989000,1,laser,4.97185900,2135397200,126431271,60505
1783958621.004866,1125264.109000,124990000,2,load,2.35533700,3951600,126432286,60505
1783958621.004866,1125264.109000,124991000,1,laser,4.97267800,2135748689,126433293,60506
1783958621.004866,1125264.109000,124992000,2,load,2.34121100,3927900,126434309,60506
1783958621.005868,1125264.109000,124993000,1,laser,4.97326000,2135998978,126435316,60507
1783958621.005868,1125264.109000,124994000,2,load,2.34172300,3928760,126436331,60507
