t_s,v_trig,v_dac,v_out
0.0549,-1,-1.84,-0.6
0.055,-1,-1.84,-0.6
0.0551,-1,-1.84,-0.6
0.0552,-1,-1.84,-0.48
0.0553,-1,-1.84,-0.6
0.0554,-1,-1.76,-0.48
0.0555,-1,-1.84,-0.6
0.0556,-1,-1.84,-0.6
0.0557,-1,-1.84,-0.6
0.0558,-1,-1.76,-0.36
0.0559,-0.96,-1.76,-0.48
0.056,-1,-1.84,-0.6
0.0561,-1,-1.76,-0.6
0.0562,-1,-1.84,-0.6
0.0563,-1,-1.92,-0.6
0.0564,-1,-1.84,-0.6
0.0565,-1,-1.84,-0.6
0.0566,-1,-1.84,-0.6
0.0567,-0.96,-1.76,-0.48
0.0568,-1,-1.76,-0.6
0.0569,-1,-1.84,-0.6
0.057,-1,-1.92,-0.72
0.0571,-1,-1.84,-0.6
0.0572,-1,-1.84,-0.6
0.0573,-1,-1.76,-0.48
0.0574,-0.96,-1.76,-0.48
0.0575,-1,-1.84,-0.6
0.0576,-1,-1.84,-0.6
0.0577,-1,-1.92,-0.6
0.0578,-1,-1.76,-0.48
0.0579,-1,-1.84,-0.6
0.058,-1,-1.76,-0.48
0.0581,-1,-1.76,-0.6
0.0582,-1,-1.92,-0.72
0.0583,-1,-1.84,-0.6
0.0584,-1,-1.84,-0.48
0.0585,-1,-1.84,-0.48
0.0586,-1,-1.84,-0.6
0.0587,-1,-1.76,-0.48
0.0588,-1,-1.84,-0.6
0.0589,-1,-1.84,-0.6
0.059,-1,-1.84,-0.6
0.0591,-1,-1.84,-0.6
0.0592,-1,-1.84,-0.6
0.0593,-1,-1.84,-0.48
0.0594,-1,-1.76,-0.48
0.0595,-1,-1.84,-0.6
0.0596,-1,-1.84,-0.6
0.0597,-1,-1.84,-0.6
0.0598,-1,-1.84,-0.6
0.0599,-1,-1.84,-0.6
0.06,-1,-1.84,-0.6
0.0601,-1,-1.76,-0.48
0.0602,-0.96,-1.84,-0.6
0.0603,-1,-1.84,-0.6
0.0604,-1,-1.76,-0.48
0.0605,-1,-1.84,-0.6
0.0606,-1,-1.76,-0.48
0.0607,-0.96,-1.84,-0.6
0.0608,-1,-1.84,-0.6
0.0609,-1,-1.84,-0.6
0.061,-1,-1.92,-0.72
0.0611,-1,-1.84,-0.6
0.0612,-1,-1.76,-0.48
0.0613,-1,-1.76,-0.48
0.0614,-1,-1.84,-0.6
