level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,detect_ok,cool_s,i_low_mA,seeded
150,200,sweep_20260731_145838,map,16,0,134.68,89.8,22.95,-4213.29,179.908,1.306,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,17,0,132.92,88.6,63.05,-4237.73,179.114,2.915,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,18,0,151.05,100.7,46.21,-4209.62,180.129,2.053,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,19,0,127.63,85.1,24.98,-4174.45,181.272,1.592,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,20,0,123.4,82.3,-8.91,-4153.47,182.018,0.863,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,21,0,150.34,100.2,15.94,-4161.3,181.703,1.066,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,22,0,132.4,88.3,-13.66,-4168.99,181.436,0.408,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,23,0,117.0,78.0,69.59,-4150.83,182.282,2.734,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,24,0,134.84,89.9,69.97,-4150.34,182.294,2.722,0,0,0,30.0,100,1
150,200,sweep_20260731_145838,map,25,0,137.54,91.7,33.64,-4092.24,184.004,1.513,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,1,1,249.16,99.7,158.69,-4355.79,176.013,5.117,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,2,0,145.87,58.3,79.56,-4192.51,180.867,2.718,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,3,0,149.61,59.8,47.54,-4131.82,182.627,2.043,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,4,0,151.11,60.4,-30.72,-4079.73,184.465,0.941,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,5,0,149.41,59.8,62.83,-4143.9,182.31,2.744,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,6,0,145.57,58.2,58.72,-4139.79,182.455,2.599,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,7,0,153.86,61.5,46.86,-4127.92,182.89,2.165,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,8,0,149.07,59.6,28.52,-4109.58,183.499,1.556,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,9,0,248.15,99.3,76.5,-4202.61,180.191,3.288,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,10,0,255.93,102.4,82.85,-4225.17,179.497,3.2,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,11,0,247.83,99.1,83.72,-4116.35,183.049,3.268,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,12,0,148.98,59.6,-23.81,-4058.7,184.864,0.969,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,13,0,146.6,58.6,-24.46,-4058.05,184.941,0.891,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,14,0,153.23,61.3,43.1,-4147.38,182.222,1.835,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,15,0,150.2,60.1,29.32,-4133.6,182.702,1.354,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,16,0,248.17,99.3,73.74,-4192.07,180.524,3.022,0,0,0,30.0,100,1
250,200,sweep_20260731_145838,map,17,0,251.33,100.5,96.98,-4175.9,181.228,3.622,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,1,1,356.16,101.8,203.93,-4378.4,175.21,6.79,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,2,0,339.48,97.0,200.7,-4375.18,175.334,6.666,0,0,0,30.0,100,1
