wall_us,step,phase,fw_t_us,src,seq,hw_us,raw_code,voltage_V,stage_mm
308773843000,1,static,12830000,2,,,68250,0.04068000,9.999960
308773843000,1,static,12831000,1,,,2129333094,4.95774000,9.999960
308773843000,1,static,12832000,2,,,68010,0.04053700,9.999960
308773859000,1,static,12833000,1,,,2129519195,4.95817300,9.999960
308773859000,1,static,12834000,2,,,68180,0.04063800,9.999960
308773859000,1,static,12835000,1,,,2129190838,4.95740800,9.999960
308773859000,1,static,12836000,2,,,69370,0.04134800,9.999960
308773859000,1,static,12837000,1,,,2128933228,4.95680900,9.999960
308773859000,1,static,12838000,2,,,69050,0.04115700,9.999960
308773859000,1,static,12839000,1,,,2128933228,4.95680900,9.999960
308773859000,1,static,12840000,2,,,69050,0.04115700,9.999960
308773859000,1,static,12841000,1,,,2129195904,4.95742000,9.999960
308773859000,1,static,12842000,2,,,69460,0.04140100,9.999960
308773859000,1,static,12843000,1,,,2129247523,4.95754100,9.999960
308773859000,1,static,12844000,2,,,67790,0.04040600,9.999960
308773859000,1,static,12845000,1,,,2129237582,4.95751800,9.999960
308773859000,1,static,12846000,2,,,67800,0.04041200,9.999960
308773859000,1,static,12847000,1,,,2129458942,4.95803300,9.999960
308773875000,1,static,12848000,2,,,67900,0.04047200,9.999960
308773875000,1,static,12849000,1,,,2129228461,4.95749600,9.999960
308773875000,1,static,12850000,2,,,67900,0.04047200,9.999960
308773875000,1,static,12851000,1,,,2129228461,4.95749600,9.999960
308773875000,1,static,12852000,2,,,68600,0.04088900,9.999960
308773875000,1,static,12853000,1,,,2128951852,4.95685200,9.999960
308773875000,1,static,12854000,2,,,68560,0.04086500,9.999960
308773875000,1,static,12855000,1,,,2129221405,4.95748000,9.999960
308773875000,1,static,12856000,2,,,69430,0.04138400,9.999960
308773875000,1,static,12857000,1,,,2129375372,4.95783900,9.999960
308773875000,1,static,12858000,2,,,69370,0.04134800,9.999960
308773875000,1,static,12859000,1,,,2129377276,4.95784300,9.999960
308773875000,1,static,12860000,2,,,69370,0.04134800,9.999960
308773875000,1,static,12861000,1,,,2129377276,4.95784300,9.999960
308773875000,1,static,12862000,2,,,68820,0.04102000,9.999960
308773875000,1,static,12863000,1,,,2129576838,4.95830700,9.999960
308773890000,1,static,12864000,2,,,67710,0.04035800,9.999960
308773890000,1,static,12865000,1,,,2129350999,4.95778200,9.999960
308773890000,1,static,12866000,2,,,67260,0.04009000,9.999960
308773890000,1,static,12867000,1,,,2128959543,4.95687000,9.999960
308773890000,1,static,12868000,2,,,68620,0.04090100,9.999960
308773890000,1,static,12869000,1,,,2129114553,4.95723100,9.999960
308773890000,1,static,12870000,2,,,69580,0.04147300,9.999960
308773890000,1,static,12871000,1,,,2129114553,4.95723100,9.999960
308773890000,1,static,12872000,2,,,69580,0.04147300,9.999960
308773890000,1,static,12873000,1,,,2129309349,4.95768500,9.999960
308773890000,1,static,12874000,2,,,69000,0.04112700,9.999960
308773890000,1,static,12875000,1,,,2129281481,4.95762000,9.999960
308773890000,1,static,12876000,2,,,68360,0.04074600,9.999960
308773890000,1,static,12877000,1,,,2129499044,4.95812600,9.999960
308773890000,1,static,12878000,2,,,68490,0.04082300,9.999960
308773890000,1,static,12879000,1,,,2129386758,4.95786500,9.999960
308773906000,1,static,12880000,2,,,67830,0.04043000,9.999960
308773906000,1,static,12881000,1,,,2129386758,4.95786500,9.999960
308773906000,1,static,12882000,2,,,67830,0.04043000,9.999960
308773906000,1,static,12883000,1,,,2129042145,4.95706300,9.999960
308773906000,1,static,12884000,2,,,68090,0.04058500,9.999960
308773906000,1,static,12885000,1,,,2129150569,4.95731500,9.999960
308773906000,1,static,12886000,2,,,68620,0.04090100,9.999960
308773906000,1,static,12887000,1,,,2129346014,4.95777000,9.999960
308773906000,1,static,12888000,2,,,68710,0.04095400,9.999960
308773906000,1,static,12889000,1,,,2129266131,4.95758400,9.999960
308773906000,1,static,12890000,2,,,69090,0.04118100,9.999960
308773906000,1,static,12891000,1,,,2129454076,4.95802200,9.999960
308773906000,1,static,12892000,2,,,69090,0.04118100,9.999960
308773906000,1,static,12893000,1,,,2129454076,4.95802200,9.999960
308773906000,1,static,12894000,2,,,68690,0.04094200,9.999960
308773921000,1,static,12895000,1,,,2129373968,4.95783500,9.999960
308773921000,1,static,12896000,2,,,68510,0.04083500,9.999960
308773921000,1,static,12897000,1,,,2128998591,4.95696100,9.999960
308773921000,1,static,12898000,2,,,67860,0.04044800,9.999960
308773921000,1,static,12899000,1,,,2129114580,4.95723200,9.999960
308773921000,1,static,12900000,2,,,68040,0.04055500,9.999960
308773921000,1,static,12901000,1,,,2129416010,4.95793300,9.999960
