wall_us,step,phase,stage_mm,set_vel_mm_s
308843953000,2,ramp_fwd,10.718800,0.1000
308843984000,2,ramp_fwd,10.721975,0.1000
308844015000,2,ramp_fwd,10.725249,0.1000
308844046000,2,ramp_fwd,10.728424,0.1000
308844078000,2,ramp_fwd,10.731599,0.1000
308844109000,2,ramp_fwd,10.734774,0.1000
308844140000,2,ramp_fwd,10.738048,0.1000
308844171000,2,ramp_fwd,10.741223,0.1000
308844203000,2,ramp_fwd,10.744398,0.1000
308844234000,2,ramp_fwd,10.747573,0.1000
308844265000,2,ramp_fwd,10.750848,0.1000
308844296000,2,ramp_fwd,10.754023,0.1000
308844328000,2,ramp_fwd,10.757198,0.1000
308844359000,2,ramp_fwd,10.760373,0.1000
308844390000,2,ramp_fwd,10.763548,0.1000
308844421000,2,ramp_fwd,10.766822,0.1000
308844453000,2,ramp_fwd,10.769898,0.1000
308844484000,2,ramp_fwd,10.773172,0.1000
308844515000,2,ramp_fwd,10.776347,0.1000
308844546000,2,ramp_fwd,10.779522,0.1000
308844578000,2,ramp_fwd,10.782796,0.1000
308844609000,2,ramp_fwd,10.785971,0.1000
308844640000,2,ramp_fwd,10.789146,0.1000
308844671000,2,ramp_fwd,10.792321,0.1000
308844703000,2,ramp_fwd,10.795595,0.1000
308844734000,2,ramp_fwd,10.798770,0.1000
308844765000,2,ramp_fwd,10.801945,0.1000
308844796000,2,ramp_fwd,10.805120,0.1000
308844828000,2,ramp_fwd,10.805120,0.1000
308844859000,2,ramp_fwd,10.808395,0.1000
308844890000,2,ramp_fwd,10.811570,0.1000
308844921000,2,ramp_fwd,10.814745,0.1000
308844953000,2,ramp_fwd,10.817920,0.1000
308844984000,2,ramp_fwd,10.821095,0.1000
308845015000,2,ramp_fwd,10.824270,0.1000
308845046000,2,ramp_fwd,10.827544,0.1000
308845078000,2,ramp_fwd,10.830719,0.1000
308845109000,2,ramp_fwd,10.833894,0.1000
308845140000,2,ramp_fwd,10.837069,0.1000
308845171000,2,ramp_fwd,10.840244,0.1000
308845203000,2,ramp_fwd,10.843518,0.1000
308845234000,2,ramp_fwd,10.846693,0.1000
308845265000,2,ramp_fwd,10.849868,0.1000
308845296000,2,ramp_fwd,10.853043,0.1000
308845328000,2,ramp_fwd,10.856317,0.1000
308845359000,2,ramp_fwd,10.859492,0.1000
308845390000,2,ramp_fwd,10.862667,0.1000
308845421000,2,ramp_fwd,10.865842,0.1000
308845453000,2,ramp_fwd,10.869017,0.1000
308845484000,2,ramp_fwd,10.872291,0.1000
308845515000,2,ramp_fwd,10.875466,0.1000
308845546000,2,ramp_fwd,10.878641,0.1000
308845578000,2,ramp_fwd,10.881816,0.1000
308845609000,2,ramp_fwd,10.885091,0.1000
308845640000,2,ramp_fwd,10.888266,0.1000
308845671000,2,ramp_fwd,10.891441,0.1000
308845703000,2,ramp_fwd,10.894616,0.1000
308845734000,2,ramp_fwd,10.897791,0.1000
308845765000,2,ramp_fwd,10.901065,0.1000
308845796000,2,ramp_fwd,10.904240,0.1000
308845828000,2,ramp_fwd,10.907415,0.1000
308845859000,2,ramp_fwd,10.910590,0.1000
308845890000,2,ramp_fwd,10.913765,0.1000
308845921000,2,ramp_fwd,10.917039,0.1000
308845953000,2,ramp_fwd,10.920214,0.1000
308845984000,2,ramp_fwd,10.923389,0.1000
308846015000,2,ramp_fwd,10.926564,0.1000
308846046000,2,ramp_fwd,10.929739,0.1000
308846078000,2,ramp_fwd,10.933013,0.1000
308846109000,2,ramp_fwd,10.936188,0.1000
308846140000,2,ramp_fwd,10.939363,0.1000
308846171000,2,ramp_fwd,10.942538,0.1000
308846203000,2,ramp_fwd,10.945812,0.1000
308846234000,2,ramp_fwd,10.945812,0.1000
308846265000,2,ramp_fwd,10.948987,0.1000
308846296000,2,ramp_fwd,10.952162,0.1000
308846328000,2,ramp_fwd,10.955337,0.1000
308846359000,2,ramp_fwd,10.958512,0.1000
308846390000,2,ramp_fwd,10.961787,0.1000
308846421000,2,ramp_fwd,10.964962,0.1000
308846453000,2,ramp_fwd,10.968137,0.1000
308846484000,2,ramp_fwd,10.971312,0.1000
308846515000,2,ramp_fwd,10.974487,0.1000
308846546000,2,ramp_fwd,10.977761,0.1000
308846578000,2,ramp_fwd,10.980936,0.1000
308846609000,2,ramp_fwd,10.984111,0.1000
308846640000,2,ramp_fwd,10.987286,0.1000
308846671000,2,ramp_fwd,10.990560,0.1000
308846703000,2,ramp_fwd,10.993735,0.1000
308846734000,2,ramp_fwd,10.996910,0.1000
308846765000,2,ramp_fwd,11.000085,0.1000
308846796000,2,ramp_fwd,11.003359,0.1000
308846828000,2,ramp_fwd,11.006534,0.1000
308846859000,2,ramp_fwd,11.009709,0.1000
308846890000,2,ramp_fwd,11.012884,0.1000
308846921000,2,ramp_fwd,11.016059,0.1000
308846953000,2,ramp_fwd,11.019334,0.1000
308846984000,2,ramp_fwd,11.022509,0.1000
308847015000,2,ramp_fwd,11.025684,0.1000
308847046000,2,ramp_fwd,11.028859,0.1000
308847078000,2,ramp_fwd,11.032034,0.1000
308847109000,2,ramp_fwd,11.035308,0.1000
308847140000,2,ramp_fwd,11.038483,0.1000
308847171000,2,ramp_fwd,11.041658,0.1000
308847203000,2,ramp_fwd,11.044833,0.1000
308847234000,2,ramp_fwd,11.048008,0.1000
308847265000,2,ramp_fwd,11.051282,0.1000
308847296000,2,ramp_fwd,11.054457,0.1000
308847328000,2,ramp_fwd,11.057632,0.1000
308847359000,2,ramp_fwd,11.060807,0.1000
308847390000,2,ramp_fwd,11.063982,0.1000
308847421000,2,ramp_fwd,11.067256,0.1000
308847453000,2,ramp_fwd,11.070431,0.1000
308847484000,2,ramp_fwd,11.073606,0.1000
308847515000,2,ramp_fwd,11.076781,0.1000
308847546000,2,ramp_fwd,11.079956,0.1000
308847578000,2,ramp_fwd,11.079956,0.1000
308847609000,2,ramp_fwd,11.083230,0.1000
308847640000,2,ramp_fwd,11.086405,0.1000
308847671000,2,ramp_fwd,11.089580,0.1000
308847703000,2,ramp_fwd,11.092755,0.1000
308847734000,2,ramp_fwd,11.095930,0.1000
308847765000,2,ramp_fwd,11.099205,0.1000
308847796000,2,ramp_fwd,11.102380,0.1000
308847828000,2,ramp_fwd,11.105555,0.1000
308847859000,2,ramp_fwd,11.108730,0.1000
308847890000,2,ramp_fwd,11.111905,0.1000
308847921000,2,ramp_fwd,11.115179,0.1000
308847953000,2,ramp_fwd,11.118354,0.1000
308847984000,2,ramp_fwd,11.121529,0.1000
308848015000,2,ramp_fwd,11.124704,0.1000
308848046000,2,ramp_fwd,11.127978,0.1000
308848078000,2,ramp_fwd,11.131153,0.1000
308848109000,2,ramp_fwd,11.134328,0.1000
308848140000,2,ramp_fwd,11.137503,0.1000
308848171000,2,ramp_fwd,11.140678,0.1000
308848203000,2,ramp_fwd,11.143952,0.1000
308848234000,2,ramp_fwd,11.147127,0.1000
308848265000,2,ramp_fwd,11.150302,0.1000
308848296000,2,ramp_fwd,11.153477,0.1000
308848328000,2,ramp_fwd,11.156752,0.1000
308848359000,2,ramp_fwd,11.159927,0.1000
308848390000,2,ramp_fwd,11.163102,0.1000
308848421000,2,ramp_fwd,11.166277,0.1000
308848453000,2,ramp_fwd,11.169452,0.1000
308848484000,2,ramp_fwd,11.172726,0.1000
308848515000,2,ramp_fwd,11.175901,0.1000
308848546000,2,ramp_fwd,11.179076,0.1000
308848578000,2,ramp_fwd,11.182251,0.1000
308848609000,2,ramp_fwd,11.185525,0.1000
308848640000,2,ramp_fwd,11.188601,0.1000
308848671000,2,ramp_fwd,11.191875,0.1000
308848703000,2,ramp_fwd,11.195050,0.1000
308848734000,2,ramp_fwd,11.198225,0.1000
308848765000,2,ramp_fwd,11.201400,0.1000
308848796000,2,ramp_fwd,11.204674,0.1000
308848828000,2,ramp_fwd,11.207849,0.1000
308848859000,2,ramp_fwd,11.211024,0.1000
308848890000,2,ramp_fwd,11.214199,0.1000
308848921000,2,ramp_fwd,11.217473,0.1000
308848953000,2,ramp_fwd,11.220648,0.1000
308848984000,2,ramp_fwd,11.223823,0.1000
308849015000,2,ramp_fwd,11.223823,0.1000
308849046000,2,ramp_fwd,11.226998,0.1000
308849078000,2,ramp_fwd,11.230273,0.1000
308849109000,2,ramp_fwd,11.233448,0.1000
308849140000,2,ramp_fwd,11.236623,0.1000
308849171000,2,ramp_fwd,11.239798,0.1000
308849203000,2,ramp_fwd,11.242973,0.1000
308849234000,2,ramp_fwd,11.246247,0.1000
