host_timestamp_s,monotonic_s,primary,secondary,status
1777060781.022502,822273.031000,1.71650000e-06,4.53574000,0
1777060781.037557,822273.046000,1.71650000e-06,4.53574000,0
1777060781.038337,822273.046000,1.71604000e-06,4.53491000,0
1777060781.053411,822273.062000,1.71604000e-06,4.53491000,0
1777060781.054411,822273.062000,1.71634000e-06,4.53657000,0
1777060781.069661,822273.078000,1.71641000e-06,4.53927000,0
1777060781.084828,822273.093000,1.71644000e-06,4.54199000,0
1777060781.100049,822273.109000,1.71644000e-06,4.54199000,0
1777060781.100673,822273.109000,1.71693000e-06,4.53882000,0
1777060781.115669,822273.125000,1.71693000e-06,4.53882000,0
1777060781.116677,822273.125000,1.71700000e-06,4.53663000,0
1777060781.131700,822273.140000,1.71700000e-06,4.53663000,0
1777060781.132715,822273.140000,1.71708000e-06,4.53491000,0
1777060781.147781,822273.156000,1.71687000e-06,4.53469000,0
1777060781.163450,822273.171000,1.71687000e-06,4.53469000,0
1777060781.164452,822273.171000,1.71635000e-06,4.53481000,0
1777060781.179454,822273.187000,1.71635000e-06,4.53481000,0
1777060781.180857,822273.187000,1.71597000e-06,4.53684000,0
1777060781.195108,822273.203000,1.71597000e-06,4.53684000,0
1777060781.196111,822273.203000,1.71629000e-06,4.53745000,0
1777060781.212110,822273.218000,1.71649000e-06,4.53829000,0
1777060781.227114,822273.234000,1.71694000e-06,4.53752000,0
1777060781.241623,822273.250000,1.71735000e-06,4.53525000,0
1777060781.256707,822273.265000,1.71697000e-06,4.53399000,0
1777060781.272215,822273.281000,1.71680000e-06,4.53176000,0
1777060781.286726,822273.296000,1.71680000e-06,4.53176000,0
1777060781.289237,822273.296000,1.71667000e-06,4.53424000,0
1777060781.304213,822273.312000,1.71633000e-06,4.53729000,0
1777060781.319416,822273.328000,1.71633000e-06,4.53729000,0
1777060781.320432,822273.328000,1.71631000e-06,4.53986000,0
1777060781.335272,822273.343000,1.71661000e-06,4.54164000,0
1777060781.350800,822273.359000,1.71675000e-06,4.53883000,0
1777060781.365325,822273.375000,1.71729000e-06,4.53869000,0
1777060781.381173,822273.390000,1.71742000e-06,4.53660000,0
1777060781.396415,822273.406000,1.71707000e-06,4.53517000,0
1777060781.411631,822273.421000,1.71654000e-06,4.53501000,0
1777060781.426641,822273.437000,1.71654000e-06,4.53501000,0
1777060781.427641,822273.437000,1.71631000e-06,4.53434000,0
1777060781.442150,822273.453000,1.71631000e-06,4.53434000,0
