=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

544,660,1.826560
545,661,1.099893
546,662,0.619598
547,663,0.219419
548,664,0.270156
549,666,1.295929
550,667,1.965303
551,669,2.126299
552,670,1.607218
553,671,1.100091
554,672,0.619801
555,673,0.219470
556,675,0.569261
557,676,1.295617
558,677,1.776034
559,678,2.176902
560,679,2.126496
561,680,1.827742
562,681,1.100836
563,683,0.219292
564,684,0.269969
565,686,1.295025
566,687,1.964868
567,688,2.176857
568,689,2.126803
569,690,1.608539
570,692,0.620898
571,693,0.219705
572,695,0.568644
573,696,1.294867
574,697,1.775627
575,698,2.176695
576,699,2.126729
577,701,1.102044
578,702,0.432230
579,703,0.219397
580,704,0.269094
581,706,1.294181
582,707,1.964255
583,709,2.126965
584,710,1.609111
585,711,1.102478
586,712,0.621650
587,713,0.220001
588,714,0.269460
589,715,0.567554
590,716,1.293501
591,718,2.176720
592,719,2.127419
593,720,1.829092
594,721,1.102804
595,723,0.219857
596,724,0.269407
597,726,1.293105
598,727,1.963791
599,728,2.176504
600,729,2.127483
601,730,1.610103
602,731,1.103300
603,732,0.622686
604,733,0.219792
605,735,0.567255
606,736,1.292677
607,737,1.773823
608,738,2.176363
609,739,2.127455
610,740,1.829951
611,741,1.104447
612,742,0.433457
613,744,0.268598
614,745,0.785867
615,747,1.773427
616,748,2.176167
617,749,2.127667
618,750,1.830210
619,751,1.104725
620,753,0.220295
621,754,0.268596
622,756,1.291770
623,757,1.962785
624,758,2.176375
625,759,2.127892
626,760,1.611432
627,762,0.623595
628,763,0.220369
629,765,0.565786
630,766,1.291243
631,767,1.772722
632,768,2.176537
633,769,2.128374
634,770,1.831215
635,771,1.105627
636,772,0.434215
637,774,0.268552
638,775,0.784927
639,776,1.290787
640,777,1.962156
641,779,2.128492
642,780,1.612625
643,781,1.106108
644,782,0.434481
645,783,0.220609
646,784,0.268259
647,785,0.784077
648,787,1.771767
649,788,2.176208
650,790,1.832011
651,791,1.106778
652,792,0.625054
653,793,0.220369
654,794,0.267933
655,796,1.289690
656,797,1.961363
657,798,2.175821
658,799,2.128495
659,800,1.832136
660,801,1.106817
661,802,0.435307
662,804,0.267393
663,805,0.782997
664,807,1.770923
665,808,2.175899
666,809,2.129040
667,810,1.832829
668,811,1.107798
669,813,0.220767
670,814,0.267594
671,815,0.563698
672,816,1.288288
673,818,2.175441
674,819,2.128750
675,821,1.107768
676,822,0.435987
677,823,0.221068
678,824,0.267882
679,825,0.782416
680,826,1.288192
681,827,1.770107
682,828,2.175782
683,830,1.833633
684,831,1.108621
685,833,0.220744
686,834,0.266922
687,835,0.562928
688,836,1.287241
689,837,1.959865
690,839,2.129426
691,840,1.615313
692,841,1.109307
693,842,0.436699
694,843,0.220745
695,844,0.266858
696,845,0.781420
697,847,1.769457
698,848,2.175395
699,849,2.129333
700,850,1.834107
701,851,1.109649
702,852,0.627458
703,853,0.220997
704,854,0.266716
705,856,1.286559
706,857,1.959593
707,859,2.129796
708,860,1.616280
709,861,1.110373
710,862,0.627963
711,863,0.221388
712,865,0.561804
713,866,1.286032
714,867,1.768548
715,868,2.175355
716,869,2.129943
717,870,1.835066
718,871,1.110636
719,873,0.221299
720,874,0.266771
721,875,0.561728
722,876,1.285812
723,877,1.958999
724,878,2.175273
725,879,2.130186
726,880,1.617070
727,882,0.628524
728,883,0.221117
729,885,0.561040
730,886,1.285094
731,887,1.767729
732,888,2.175138
733,889,2.130171
734,890,1.835787
735,891,1.111835
736,893,0.221560
737,894,0.266308
738,895,0.560794
739,896,1.284796
