t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
1.6299984,5020.8554,0.43234444,0.99497977,0.24829883,3.9075158,0.24706574,79.999979
1.6399984,5020.154,0.42866467,0.99401102,0.24732301,3.9195144,0.24585446,79.999979
1.6499984,5019.6629,0.41075192,0.99304226,0.2463472,3.931513,0.24464319,79.999979
1.6599984,5020.0226,0.41664249,0.99207351,0.24537139,3.9435116,0.24343191,79.999979
1.6699984,5020.8285,0.42975457,0.99137493,0.2445511,3.953664,0.2425352,79.999979
1.6799984,5020.5151,0.43018485,0.99241575,0.24543904,3.9435378,0.24366365,79.999979
1.6899984,5019.8104,0.4001267,0.99345656,0.24632699,3.9334115,0.2447921,79.999979
1.6999984,5020.4706,0.41632028,0.99449738,0.24721494,3.9232853,0.24592055,79.999979
1.7099984,5020.3003,0.42153205,0.99553819,0.24810289,3.9131591,0.247049,79.999979
1.7199984,5020.5001,0.42145089,0.99657901,0.24899084,3.9030328,0.24817745,79.999979
1.7299984,5019.7818,0.41838224,0.99761982,0.24987878,3.8929066,0.2493059,79.999979
1.7399983,5018.4511,0.39863725,0.99866064,0.25076673,3.8827804,0.25043435,79.999979
1.7499983,5019.1386,0.40644785,0.99848379,0.25104642,3.8775548,0.25062761,79.999979
1.7599983,5019.408,0.40595228,0.99804136,0.25114321,3.8742669,0.2506169,79.999979
1.7699983,5019.2098,0.40597181,0.99759893,0.25124001,3.870979,0.25060618,79.999979
1.7799983,5019.2977,0.40549182,0.9971565,0.2513368,3.8676912,0.25059547,79.999979
1.7899983,5019.2072,0.40339426,0.99671407,0.2514336,3.8644033,0.25058476,79.999979
1.7999983,5019.3117,0.40961768,0.99627164,0.25153039,3.8611154,0.25057405,79.999979
1.8099983,5018.7582,0.39687843,0.99582921,0.25162719,3.8578276,0.25056333,79.999979
1.8199983,5018.2708,0.39187307,0.99538678,0.25172398,3.8545397,0.25055262,79.999979
1.8299983,5018.3406,0.39366832,0.99494435,0.25182078,3.8512518,0.25054191,79.999979
1.8399982,5019.1816,0.40719322,0.99450192,0.25191758,3.8479639,0.25053119,79.999979
1.8499982,5019.2058,0.40295133,0.99497272,0.25161704,3.8536644,0.25034903,79.999979
1.8599982,5018.2492,0.39292786,0.99582318,0.25115131,3.8645441,0.25009559,79.999979
1.8699982,5019.4345,0.41040441,0.99667364,0.25068559,3.8754237,0.24984215,79.999979
1.8799982,5019.7628,0.41176604,0.99752411,0.25021986,3.8863034,0.24958871,79.999979
1.8899982,5019.4904,0.41312766,0.99837457,0.24975414,3.8971831,0.24933527,79.999979
1.8999982,5019.6474,0.41163352,0.99922503,0.24928841,3.9080627,0.24908183,79.999979
1.9099982,5018.3427,0.39983261,1.0000755,0.24882269,3.9189424,0.24882839,79.999979
1.9199982,5019.1529,0.40133042,1.000926,0.24835696,3.9298221,0.24857495,79.999979
1.9299982,5018.5784,0.39369766,1.0017764,0.24789123,3.9407017,0.24832151,79.999979
1.9399981,5018.5308,0.39083856,1.0026269,0.24742551,3.9515814,0.24806807,79.999979
1.9499981,5018.4735,0.39875756,1.0034773,0.24695978,3.962461,0.24781462,79.999979
1.9599981,5017.8769,0.39297341,1.0041565,0.24656702,3.9733407,0.2475914,79.999979
1.9699981,5018.8034,0.39993764,1.0027236,0.24707377,3.9599489,0.24774068,79.999979
1.9799981,5018.5964,0.39544918,1.0012907,0.24758051,3.9459224,0.24788995,79.999979
1.9899981,5019.4165,0.4014961,0.99985781,0.24808726,3.9318958,0.24803923,79.999979
1.9999981,5019.1022,0.40510245,0.99842492,0.248594,3.9178692,0.2481885,79.999979
2.0099981,5019.0866,0.40660674,0.99699203,0.24910074,3.9038427,0.24833778,79.999979
2.0199981,5020.1813,0.41136295,0.99555914,0.24960749,3.8898161,0.24848706,79.999979
2.0299981,5018.3159,0.39158336,0.99412624,0.25011423,3.8757895,0.24863633,79.999979
2.0399981,5018.1468,0.38686264,0.99269335,0.25062098,3.861763,0.24878561,79.999979
2.049998,5018.4438,0.38896813,0.99174148,0.25101309,3.8508618,0.24888153,79.999979
2.059998,5017.8564,0.38512911,0.99197529,0.25091296,3.8533807,0.24884595,79.999979
2.069998,5018.2177,0.38715689,0.99220911,0.25081283,3.8558996,0.24881038,79.999979
2.079998,5019.1087,0.39834681,0.99244292,0.2507127,3.8584185,0.2487748,79.999979
2.089998,5018.2753,0.38850137,0.99267673,0.25061257,3.8609374,0.24873922,79.999979
2.099998,5017.7938,0.38413176,0.99291055,0.25051244,3.8634563,0.24870364,79.999979
2.109998,5017.4957,0.37705101,0.99314436,0.25041231,3.8659751,0.24866806,79.999979
2.119998,5017.3068,0.37799679,0.99337818,0.25031219,3.868494,0.24863248,79.999979
2.129998,5017.6637,0.38276561,0.99361199,0.25021206,3.8710129,0.2485969,79.999979
2.139998,5018.0207,0.3911706,0.9938458,0.25011193,3.8735318,0.24856132,79.999979
2.1499979,5018.6282,0.39452188,0.99407962,0.2500118,3.8760507,0.24852574,79.999979
2.1599979,5019.0384,0.39847916,0.99431343,0.24991167,3.8785696,0.24849016,79.999979
2.1699979,5018.1204,0.39123118,0.99415702,0.24995654,3.8774087,0.24851182,79.999979
2.1799979,5017.1939,0.38529648,0.99397278,0.25003037,3.8755126,0.24853757,79.999979
2.1899979,5017.068,0.37444539,0.99378853,0.2501042,3.8736166,0.24856331,79.999979
2.1999979,5016.9421,0.37549197,0.99360428,0.25017804,3.8717206,0.24858905,79.999979
2.2099979,5017.9652,0.38227165,0.99342004,0.25025187,3.8698245,0.2486148,79.999979
2.2199979,5018.5916,0.39385788,0.99323579,0.2503257,3.8679285,0.24864054,79.999979
2.2299979,5017.3406,0.37641136,0.99305154,0.25039954,3.8660325,0.24866628,79.999979
2.2399979,5016.8467,0.37365495,0.9928673,0.25047337,3.8641364,0.24869203,79.999979
2.2499979,5015.8805,0.36124206,0.99268305,0.2505472,3.8622404,0.24871777,79.999979
2.2599978,5015.9172,0.36124206,0.9924988,0.25062103,3.8603444,0.24874352,79.999979
2.2699978,5016.3055,0.36656393,0.99231456,0.25069487,3.8584483,0.24876926,79.999979
2.2799978,5018.203,0.38808148,0.99211531,0.25068283,3.8571062,0.24870645,79.999979
2.2899978,5016.8308,0.36902516,0.99184385,0.25025744,3.8628924,0.24821736,79.999979
2.2999978,5016.2781,0.36847695,0.99157239,0.24983204,3.8686785,0.24772827,79.999979
2.3099978,5017.1486,0.37214985,0.99130093,0.24940664,3.8744647,0.24723917,79.999979
2.3199978,5019.0734,0.39894615,0.99102947,0.24898124,3.8802509,0.24675008,79.999979
2.3299978,5017.9857,0.39420058,0.99075801,0.24855585,3.8860371,0.24626099,79.999979
2.3399978,5017.7359,0.38548101,0.99048655,0.24813045,3.8918233,0.24577189,79.999979
2.3499978,5017.4653,0.37701103,0.99021509,0.24770505,3.8976095,0.2452828,79.999979
2.3599977,5016.2106,0.36528592,0.98994362,0.24727965,3.9033956,0.24479371,79.999979
2.3699977,5017.2778,0.37471078,0.98956519,0.24695318,3.907316,0.24442079,79.999979
2.3799977,5017.0272,0.37387423,0.98863125,0.24742807,3.8961226,0.24465114,79.999979
2.3899977,5016.8367,0.3711123,0.98769732,0.24790296,3.8849293,0.24488148,79.999979
2.3999977,5017.1883,0.37870937,0.98676338,0.24837785,3.8737359,0.24511183,79.999979
2.4099977,5017.7975,0.38399048,0.98582945,0.24885274,3.8625425,0.24534218,79.999979
2.4199977,5015.7519,0.37096907,0.98489551,0.24932763,3.8513492,0.24557253,79.999979
2.4299977,5017.1338,0.37653978,0.98396158,0.24980251,3.8401558,0.24580288,79.999979
2.4399977,5017.119,0.37523344,0.98302764,0.2502774,3.8289624,0.24603322,79.999979
2.4499977,5016.8035,0.36971581,0.9820937,0.25075229,3.817769,0.24626357,79.999979
2.4599977,5016.676,0.36793825,0.98115977,0.25122718,3.8065757,0.24649392,79.999979
2.4699976,5016.8127,0.37367872,0.98022583,0.25170207,3.7953823,0.24672427,79.999979
2.4799976,5016.8151,0.36791215,0.9792919,0.25217695,3.7841889,0.24695461,79.999979
2.4899976,5017.0417,0.36804197,0.98021876,0.25213786,3.7868463,0.24711078,79.999979
2.4999976,5015.8135,0.36090904,0.98178161,0.25187049,3.7972686,0.24724158,79.999979
2.5099976,5016.2125,0.36350125,0.98334447,0.25160312,3.8076908,0.24737239,79.999979
2.5199976,5016.5712,0.36946584,0.98490733,0.25133575,3.8181131,0.2475032,79.999979
2.5299976,5016.733,0.37630852,0.98647019,0.25106838,3.8285353,0.24763401,79.999979
2.5399976,5016.3373,0.35834674,0.98803304,0.25080101,3.8389576,0.24776482,79.999979
2.5499976,5016.7425,0.36936955,0.9895959,0.25053364,3.8493798,0.24789562,79.999979
2.5599976,5015.6509,0.35878749,0.99115876,0.25026627,3.8598021,0.24802643,79.999979
2.5699975,5017.1775,0.37582015,0.99272162,0.2499989,3.8702243,0.24815724,79.999979
2.5799975,5017.0405,0.37290164,0.99428447,0.24973153,3.8806466,0.24828805,79.999979
2.5899975,5016.9035,0.36998313,0.99584733,0.24946416,3.8910688,0.24841886,79.999979
2.5999975,5015.5309,0.35786162,0.99741019,0.24919679,3.9014911,0.24854966,79.999979
2.6099975,5015.4736,0.35672671,0.99684476,0.24919852,3.9007942,0.24841173,79.999979
2.6199975,5015.6081,0.35683666,0.99569244,0.24927446,3.8949594,0.24819969,79.999979
2.6299975,5015.7473,0.36048075,0.99454012,0.24935039,3.8891245,0.24798765,79.999979
2.6399975,5016.8595,0.36128302,0.9933878,0.24942633,3.8832897,0.24777562,79.999979
2.6499975,5016.8123,0.36844252,0.99223548,0.24950226,3.8774548,0.24756358,79.999979
2.6599975,5015.5664,0.35623753,0.99108316,0.2495782,3.87162,0.24735154,79.999979
2.6699975,5016.9689,0.36301102,0.98993084,0.24965413,3.8657851,0.2471395,79.999979
2.6799974,5015.4822,0.35447348,0.98877852,0.24973007,3.8599502,0.24692746,79.999979
2.6899974,5015.4762,0.36222686,0.98910233,0.2498624,3.8581902,0.24714587,79.999979
2.6999974,5014.9645,0.35449096,0.99038764,0.25004028,3.8604878,0.24764465,79.999979
2.7099974,5015.0379,0.35345197,0.99167294,0.25021816,3.8627853,0.24814344,79.999979
2.7199974,5015.2134,0.355518,0.99295825,0.25039605,3.8650828,0.24864222,79.999979
2.7299974,5016.3826,0.36736624,0.99424356,0.25057393,3.8673804,0.249141,79.999979
2.7399974,5015.0336,0.35517286,0.99552886,0.25075181,3.8696779,0.24963979,79.999979
2.7499974,5015.5952,0.35669473,0.99681417,0.2509297,3.8719755,0.25013857,79.999979
2.7599974,5015.5952,0.35253534,0.99809948,0.25110758,3.874273,0.25063736,79.999979
2.7699974,5015.5799,0.35253534,0.99938478,0.25128546,3.8765706,0.25113614,79.999979
2.7799973,5014.9167,0.35455927,1.0006701,0.25146334,3.8788681,0.25163493,79.999979
2.7899973,5015.7738,0.3578489,1.0019554,0.25164123,3.8811656,0.25213371,79.999979
2.7999973,5014.2413,0.35299511,1.0021373,0.2513485,3.8871537,0.25182745,79.999979
2.8099973,5014.1931,0.34842843,1.0021307,0.25090217,3.8943463,0.2513836,79.999979
2.8199973,5014.5482,0.35148801,1.0021241,0.25045585,3.9015389,0.25093975,79.999979
2.8299973,5014.9989,0.35369325,1.0021174,0.25000952,3.9087315,0.2504959,79.999979
2.8399973,5013.9164,0.35218216,1.0021108,0.24956319,3.9159241,0.25005205,79.999979
2.8499973,5015.532,0.35995091,1.0021042,0.24911687,3.9231167,0.2496082,79.999979
2.8599973,5014.6832,0.34770889,1.0020975,0.24867054,3.9303093,0.24916435,79.999979
2.8699973,5016.0599,0.36049636,1.0020909,0.24822421,3.9375019,0.2487205,79.999979
2.8799973,5016.6301,0.36954509,1.0020843,0.24777789,3.9446945,0.24827664,79.999979
2.8899972,5016.2677,0.36499875,1.0020776,0.24733156,3.9518871,0.24783279,79.999979
2.8999972,5015.8759,0.36122956,1.002071,0.24688523,3.9590797,0.24738894,79.999979
2.9099972,5015.6333,0.36116066,1.0020644,0.24643891,3.9662723,0.24694509,79.999979
2.9199972,5014.5536,0.34997994,1.0023262,0.2463095,3.9691895,0.24695927,79.999979
2.9299972,5013.5384,0.34142793,1.0028644,0.24666953,3.9655042,0.24744479,79.999979
2.9399972,5013.8752,0.34303837,1.0034025,0.24702957,3.9618188,0.24793031,79.999979
2.9499972,5014.3136,0.34789064,1.0039407,0.2473896,3.9581335,0.24841583,79.999979
2.9599972,5014.3136,0.34789064,1.0044788,0.24774963,3.9544481,0.24890136,79.999979
