level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
250,200,6,0,30.0,250.98043298969074,0.9651445773195876,3.8454972996210897,100.4,0.945336,251.05749999999998,3.7654162890971192,0.23733369281999997,3.9674352117313543,1866.591674,1866.791674,2026-08-05T15:24:21.013059+00:00,34.57058286217671,-4260.805569220568,3.2790012765957446,3.309101,0.030099723404255485,321.4434462249303,2.9507029748783813,0,0,1,194,sweep_20260805_105318,map,0,1
350,200,1,1,30.0,334.816393939394,1.287770909090909,3.84620028290494,95.7,1.3232055,351.908,3.76008928469941,0.465646601094,4.034852878183795,1922.209507,1922.409507,2026-08-05T15:25:16.796177+00:00,76.01228848251958,-4333.253966543857,3.2245570000000003,3.287041,0.06248399999999954,316.10622479074755,6.1253627552016985,0,0,1,33,sweep_20260805_105318,map,0,1
350,200,2,0,30.0,352.35644387755093,1.3637285306122449,3.8703096092267315,100.7,1.370416,349.485,3.921244116342619,0.47893983576,3.9819028128887286,1953.550047,1953.750047,2026-08-05T15:25:48.102029+00:00,73.29109012204117,-4295.877994061739,3.2519197074468087,3.310877,0.058957292553191376,318.78861562802047,5.77963645017687,0,0,1,196,sweep_20260805_105318,map,0,1
350,200,3,0,30.0,346.5712448979592,1.3180645408163265,3.803156090472548,99.0,1.3316400000000002,348.063,3.825859111712535,0.4634946133200001,3.9642509067088465,1984.719022,1984.919022,2026-08-05T15:26:19.236506+00:00,68.07771349602353,-4284.354800873431,3.2614356402116407,3.320086,0.058650359788359197,319.7214710812358,5.74954755500284,0,0,1,196,sweep_20260805_105318,map,0,1
350,200,4,0,30.0,353.0157244897959,1.3559684795918365,3.8410993775180446,100.9,1.365617,349.623,3.9059701449847406,0.4774511123910001,3.9951780654301903,2015.895218,2016.095218,2026-08-05T15:26:50.378196+00:00,67.48899330247423,-4252.608724780128,3.284583159574468,3.337115,0.05253184042553194,321.99064323699366,5.149743595236455,0,0,1,196,sweep_20260805_105318,map,0,1
350,200,5,0,30.0,351.7045284974093,1.3424899896373055,3.817096115801632,100.5,1.3468645000000001,348.345,3.866467151817882,0.4691735142525001,3.998167305698233,2047.063606,2047.263606,2026-08-05T15:27:21.512087+00:00,66.37608710205495,-4286.476027366454,3.2589457021276593,3.313363,0.05441729787234051,319.4773802099347,5.334576685646784,0,0,1,193,sweep_20260805_105318,map,0,1
350,200,6,0,30.0,348.1663787878788,1.3347992828282829,3.8337971847692756,99.5,1.280483,345.69899999999996,3.704040219960139,0.442661692617,4.001452459121927,2078.237775,2078.437775,2026-08-05T15:27:52.651752+00:00,66.12334241373537,-4303.473328784593,3.2460738201058197,3.300303,0.0542291798941803,318.215538030722,5.316135310942757,0,0,1,198,sweep_20260805_105318,map,0,1
450,200,1,1,30.0,452.4280969387755,1.738554668367347,3.8427203795051117,100.5,1.75768,449.549,3.9098741182829904,0.7901632863199999,4.047919718966436,2134.027627,2134.227627,2026-08-05T15:28:48.563415+00:00,128.9992623182452,-4323.06242051838,3.231247232804233,3.332317,0.10106976719576721,316.7620743337134,9.907960240347345,0,0,1,196,sweep_20260805_105318,map,0,1
450,200,2,0,30.0,449.8302577319588,1.7281754484536083,3.841839046504025,100.0,1.651539,443.046,3.727691932666134,0.731707747794,3.984821192689195,2165.198007,2165.398007,2026-08-05T15:29:19.710944+00:00,128.49147574934432,-4284.565158938503,3.261803994680851,3.361273,0.09946900531914915,319.75758120136913,9.75103611290699,0,0,1,194,sweep_20260805_105318,map,0,1
450,200,3,0,30.0,453.54353000000003,1.74356313,3.8443126506511955,100.8,1.686235,450.707,3.741310873804933,0.759997918145,3.948675589181252,2196.36881,2196.56881,2026-08-05T15:29:50.858895+00:00,120.7929870193575,-4289.387869391184,3.2571745319148935,3.353149,0.09597446808510668,319.30375079993536,9.408463482792568,0,0,1,200,sweep_20260805_105318,map,0,1
450,200,4,0,30.0,451.4957989690721,1.7368116752577318,3.8467947635913777,100.3,1.7614115,462.1195,3.8115931052465863,0.81398260167425,3.984420228845429,2227.5453,2227.7453,2026-08-05T15:30:22.012530+00:00,134.45662940332022,-4282.016781044888,3.263459306878307,3.369886,0.10642669312169328,319.9198529458562,10.433104510065066,0,0,1,194,sweep_20260805_105318,map,0,1
450,200,5,0,30.0,449.4739947089946,1.717166746031746,3.8203917606924076,99.9,1.679733,439.987,3.817687795321225,0.739060683471,3.9632286275925703,2258.714631,2258.914631,2026-08-05T15:30:53.159010+00:00,124.15716175826856,-4302.615526881082,3.246962111702128,3.34574,0.09877788829787226,318.30261805536486,9.683285289310302,0,0,1,189,sweep_20260805_105318,map,0,1
450,200,6,0,30.0,451.59973333333335,1.730261364102564,3.8314047515732894,100.4,1.749438,455.608,3.839787712243859,0.797057948304,3.993737505118385,2289.885555,2290.085555,2026-08-05T15:31:24.307082+00:00,127.3898680350785,-4299.164769387519,3.2503072819148935,3.349447,0.09913971808510658,318.6305481019541,9.718755788997385,0,0,1,195,sweep_20260805_105318,map,0,1
550,200,1,1,30.0,550.4410461538462,2.0831492153846156,3.7845092220873067,100.1,2.053764,543.3149999999999,3.78006129041164,1.11584078766,3.9514800819411233,2345.470555,2345.670555,2026-08-05T15:32:19.941962+00:00,193.01412875278493,-4333.842604081003,3.223113931216931,3.377783,0.15466906878306919,315.96475945919053,15.162348013980358,0,0,1,195,sweep_20260805_105318,map,0,1
550,200,2,0,30.0,551.3140104166667,2.1069179427083333,3.8216296029117554,100.2,2.1123715,552.4925000000001,3.8233487332407226,1.16706941096375,3.984806939901225,2376.64625,2376.84625,2026-08-05T15:32:51.095745+00:00,195.95918638420608,-4294.342544187867,3.253559582010582,3.408581,0.15502141798941782,318.9493740073838,15.196889123790754,0,0,1,192,sweep_20260805_105318,map,0,1
550,200,3,0,30.0,550.914835897436,2.1170710153846155,3.8428281059738087,100.2,2.1254365,556.1065000000001,3.8219954271349104,1.1819690529872502,3.9925843886936003,2407.814952,2408.014952,2026-08-05T15:33:22.242539+00:00,194.8991515629241,-4303.172107245016,3.2471150899470897,3.400946,0.15383091005291005,318.3176146503979,15.080182559325342,0,0,1,195,sweep_20260805_105318,map,0,1
550,200,4,0,30.0,550.6464845360825,2.096689298969072,3.807686706173244,100.1,2.132899,555.6,3.8389110871130314,1.1850386844,3.9788327959317895,2438.989714,2439.189714,2026-08-05T15:33:53.395389+00:00,189.97131126448676,-4275.9640455227145,3.266935765957447,3.419119,0.15218323404255285,320.2606533581753,14.918659397132119,0,0,1,194,sweep_20260805_105318,map,0,1
550,200,5,0,30.0,553.2845468749999,2.098030494791667,3.7919557064109752,100.6,2.0691565,548.537,3.772136610657075,1.1350088990405,3.984422477170872,2470.158011,2470.358011,2026-08-05T15:34:24.541778+00:00,195.25688820440746,-4288.332848568536,3.2585979206349207,3.410923,0.15232507936507922,319.4432868772004,14.932564621759264,0,0,1,192,sweep_20260805_105318,map,0,1
550,200,6,0,30.0,549.3463575129533,2.0991812746113987,3.821234537924284,99.9,2.1149625,548.117,3.858596795939553,1.1592469006125,4.017744774212214,2501.330597,2501.530597,2026-08-05T15:34:55.692454+00:00,187.67652814244775,-4299.360521240259,3.2490297500000005,3.395116,0.1460862499999993,318.5053104985666,14.320966564193817,0,0,1,193,sweep_20260805_105318,map,0,1
650,200,1,1,30.0,650.5358673469389,2.47299443877551,3.801472851698477,100.1,2.471034,649.2370000000001,3.806058496358032,1.6042867010580002,4.283018364058787,2556.869465,2557.069465,2026-08-05T15:35:51.147668+00:00,281.4102147863432,-4328.433152326368,3.2275340531914893,3.45102,0.22348594680851086,316.3980679944381,21.908528501566007,0,0,1,196,sweep_20260805_105318,map,0,1
650,200,2,0,30.0,649.2729226804124,2.491122092783505,3.836787282764439,99.9,2.507314,655.4250000000001,3.8254781248808025,1.6433562784500002,3.9979779500264794,2588.04216,2588.24216,2026-08-05T15:36:22.296841+00:00,276.911903475695,-4263.311585932371,3.276216862433863,3.493691,0.21747413756613732,321.170487598686,21.319185430946128,0,0,1,194,sweep_20260805_105318,map,0,1
650,200,3,0,30.0,649.9020984455959,2.4681623989637305,3.7977449293777643,100.0,2.4432235,638.943,3.823852049400338,1.5610805527605003,3.980798310251302,2619.216569,2619.416569,2026-08-05T15:36:53.447726+00:00,281.2125755746479,-4307.365508572923,3.244113100529101,3.46784,0.22372689947089874,318.0233269259811,21.93214930791575,0,0,1,193,sweep_20260805_105318,map,0,1
650,200,4,0,30.0,651.0093807106598,2.475684456852792,3.8028399132286945,100.2,2.513049,655.4839999999999,3.8338830543537297,1.647263410716,4.009497526769792,2650.387023,2650.587023,2026-08-05T15:37:24.594660+00:00,270.4481322905963,-4286.697405418737,3.259095563829787,3.471363,0.21226743617021304,319.4920712874689,20.8087678071056,0,0,1,197,sweep_20260805_105318,map,0,1
