host_timestamp_s,monotonic_s,position_mm
1783958650.466776,1125293.562000,79.999979
1783958650.487756,1125293.593000,79.999979
1783958650.508247,1125293.609000,79.999979
1783958650.528638,1125293.625000,79.999979
1783958650.548879,1125293.656000,79.999979
1783958650.569540,1125293.671000,79.999979
1783958650.589664,1125293.687000,79.999979
1783958650.609804,1125293.703000,79.999979
1783958650.630305,1125293.734000,79.999979
1783958650.650639,1125293.750000,79.999979
1783958650.670934,1125293.765000,79.999979
1783958650.691720,1125293.796000,79.999979
1783958650.712224,1125293.812000,79.999979
1783958650.732618,1125293.828000,79.999979
1783958650.753804,1125293.859000,79.999979
1783958650.774656,1125293.875000,79.999979
1783958650.795149,1125293.890000,79.999979
1783958650.815620,1125293.921000,79.999979
1783958650.836087,1125293.937000,79.999979
1783958650.858041,1125293.953000,79.999979
1783958650.880774,1125293.984000,79.999979
1783958650.900946,1125294.000000,79.999979
1783958650.921607,1125294.015000,79.999979
1783958650.943801,1125294.046000,79.999979
1783958650.964314,1125294.062000,79.999979
1783958650.984788,1125294.078000,79.999979
1783958651.013230,1125294.109000,79.999979
1783958651.034281,1125294.140000,79.999979
1783958651.055145,1125294.156000,79.999979
1783958651.075591,1125294.171000,79.999979
1783958651.096133,1125294.203000,79.999979
1783958651.116387,1125294.218000,79.999979
1783958651.136961,1125294.234000,79.999979
1783958651.157288,1125294.250000,79.999979
1783958651.177429,1125294.281000,79.999979
1783958651.198523,1125294.296000,79.999979
1783958651.218877,1125294.312000,79.999979
1783958651.239167,1125294.343000,79.999979
1783958651.261582,1125294.359000,79.999979
1783958651.282229,1125294.375000,79.999979
1783958651.302534,1125294.406000,79.999979
1783958651.325158,1125294.421000,79.999979
1783958651.346638,1125294.453000,79.999979
1783958651.368066,1125294.468000,79.999979
1783958651.388861,1125294.484000,79.999979
1783958651.408980,1125294.515000,79.999979
1783958651.429304,1125294.531000,79.999979
1783958651.449982,1125294.546000,79.999979
1783958651.470312,1125294.562000,79.999979
1783958651.491677,1125294.593000,79.999979
1783958651.512102,1125294.609000,79.999979
1783958651.532238,1125294.625000,79.999979
1783958651.566190,1125294.671000,79.999979
1783958651.586591,1125294.687000,79.999979
1783958651.607618,1125294.703000,79.999979
1783958651.628917,1125294.734000,79.999979
1783958651.649562,1125294.750000,79.999979
1783958651.670609,1125294.765000,79.999979
1783958651.690978,1125294.796000,79.999979
1783958651.711409,1125294.812000,79.999979
1783958651.731883,1125294.828000,79.999979
1783958651.752848,1125294.859000,79.999979
1783958651.773763,1125294.875000,79.999979
1783958651.795120,1125294.890000,79.999979
1783958651.817305,1125294.921000,79.999979
1783958651.837637,1125294.937000,79.999979
1783958651.858145,1125294.953000,79.999979
1783958651.878345,1125294.984000,79.999979
1783958651.898678,1125295.000000,79.999979
1783958651.920640,1125295.015000,79.999979
1783958651.941935,1125295.046000,79.999979
1783958651.962295,1125295.062000,79.999979
1783958651.982409,1125295.078000,79.999979
1783958652.004825,1125295.109000,79.999979
1783958652.025338,1125295.125000,79.999979
1783958652.045833,1125295.140000,79.999979
1783958652.068302,1125295.171000,79.999979
1783958652.088656,1125295.187000,79.999979
1783958652.109200,1125295.203000,79.999979
1783958652.137778,1125295.234000,79.999979
1783958652.159093,1125295.265000,79.999979
1783958652.180567,1125295.281000,79.999979
1783958652.200984,1125295.296000,79.999979
1783958652.221514,1125295.328000,79.999979
1783958652.242986,1125295.343000,79.999979
1783958652.263763,1125295.359000,79.999979
1783958652.284178,1125295.390000,79.999979
1783958652.305047,1125295.406000,79.999979
1783958652.325591,1125295.421000,79.999979
1783958652.345792,1125295.453000,79.999979
1783958652.368425,1125295.468000,79.999979
1783958652.393259,1125295.500000,79.999979
1783958652.413676,1125295.515000,79.999979
1783958652.434370,1125295.531000,79.999979
1783958652.455043,1125295.562000,79.999979
1783958652.475594,1125295.578000,79.999979
1783958652.496074,1125295.593000,79.999979
1783958652.516438,1125295.609000,79.999979
1783958652.537489,1125295.640000,79.999979
1783958652.557829,1125295.656000,79.999979
1783958652.579162,1125295.671000,79.999979
1783958652.599329,1125295.703000,79.999979
1783958652.633199,1125295.734000,79.999979
1783958652.655725,1125295.750000,79.999979
1783958652.677674,1125295.781000,79.999979
1783958652.697713,1125295.796000,79.999979
1783958652.718011,1125295.812000,79.999979
1783958652.738515,1125295.843000,79.999979
1783958652.760004,1125295.859000,79.999979
1783958652.780401,1125295.875000,79.999979
1783958652.800705,1125295.906000,79.999979
1783958652.823596,1125295.921000,79.999979
1783958652.844286,1125295.937000,79.999979
1783958652.866255,1125295.968000,79.999979
1783958652.886784,1125295.984000,79.999979
1783958652.907661,1125296.000000,79.999979
1783958652.927976,1125296.031000,79.999979
1783958652.948141,1125296.046000,79.999979
1783958652.969194,1125296.062000,79.999979
1783958652.989664,1125296.093000,79.999979
1783958653.009899,1125296.109000,79.999979
1783958653.030024,1125296.125000,79.999979
1783958653.050387,1125296.156000,79.999979
1783958653.070881,1125296.171000,79.999979
1783958653.091295,1125296.187000,79.999979
1783958653.111399,1125296.218000,79.999979
1783958653.131815,1125296.234000,79.999979
1783958653.151995,1125296.250000,79.999979
1783958653.198070,1125296.296000,79.999979
1783958653.218551,1125296.312000,79.999979
1783958653.239090,1125296.343000,79.999979
1783958653.260026,1125296.359000,79.999979
1783958653.280490,1125296.375000,79.999979
1783958653.302791,1125296.406000,79.999979
1783958653.323669,1125296.421000,79.999979
1783958653.344126,1125296.437000,79.999979
1783958653.364912,1125296.468000,79.999979
1783958653.385222,1125296.484000,79.999979
1783958653.405766,1125296.500000,79.999979
1783958653.425850,1125296.531000,79.999979
1783958653.446199,1125296.546000,79.999979
1783958653.466604,1125296.562000,79.999979
1783958653.488086,1125296.593000,79.999979
1783958653.508843,1125296.609000,79.999979
1783958653.528963,1125296.625000,79.999979
1783958653.550573,1125296.656000,79.999979
1783958653.571449,1125296.671000,79.999979
1783958653.592005,1125296.687000,79.999979
1783958653.612339,1125296.718000,79.999979
1783958653.632822,1125296.734000,79.999979
1783958653.653182,1125296.750000,79.999979
1783958653.673788,1125296.781000,79.999979
1783958653.694224,1125296.796000,79.999979
1783958653.714731,1125296.812000,79.999979
1783958653.752029,1125296.859000,79.999979
1783958653.756199,1125296.859000,79.999979
1783958653.777940,1125296.875000,79.999979
1783958653.802079,1125296.906000,79.999979
1783958653.822477,1125296.921000,79.999979
1783958653.842916,1125296.937000,79.999979
1783958653.863415,1125296.968000,79.999979
1783958653.883577,1125296.984000,79.999979
1783958653.907422,1125297.000000,79.999979
