sweep,level_mA,heat_ms,cycle,V_on,I_on,R_on,V1,I1,R1,V2,I2,R2,step_ohm,geom,V_off
sweep_20260731_145838,450,100,2,2.0584944107142857,0.4585994464285714,4.488654373103139,1.9869577752808987,0.4443183932584269,4.471923299662351,0.5122059006622516,0.10872095033112582,4.711197787567643,0.23927448790529215,6.947220947050267,0.034441755880369074
sweep_20260731_145838,450,100,3,2.0736846975308643,0.4644998395061728,4.464338889192032,1.9697814438202248,0.4480855449438203,4.395994171307603,0.5138326185897436,0.10888316025641025,4.7191192593943185,0.3231250880867158,6.9524399327546345,0.04647650194925021
sweep_20260731_145838,450,100,4,2.09010659139785,0.4644424892473118,4.500248447951293,1.9855510280898878,0.4478082865168539,4.433930965266224,0.5098608144654088,0.10742616037735848,4.746151334781103,0.3122203695148782,7.0756210854706385,0.04412621390311649
sweep_20260731_145838,450,100,5,2.059867625,0.4565892142857143,4.511424187324367,1.972784994505495,0.4446775989010989,4.436438892763436,0.5126995322580644,0.11079645161290322,4.6274002894002075,0.19096139663677114,6.776739528623812,0.028178948863266967
sweep_20260731_145838,450,100,6,2.07565540625,0.45717287500000003,4.540198073321826,1.9511618722222221,0.4437542777777777,4.396942113985255,0.5142709807692307,0.10939270833333335,4.701144972132716,0.30420285814746073,6.88787770748735,0.04416496213583784
sweep_20260731_145838,550,100,2,3.5089112903225805,0.7934690698924732,4.422240794840421,3.4935467215909095,0.7989717386363636,4.372553561848736,0.6730313557692308,0.1476309519230769,4.558877030881124,0.18632346903238783,5.522038581398208,0.033741790515561726
sweep_20260731_145838,550,100,3,2.543158703125,0.5714530625,4.450336991806742,2.452705939560439,0.5507042967032966,4.4537621265044995,0.5116422243589743,0.1094009551282051,4.676761951112672,0.22299982460817258,7.324831478534388,0.030444362476007632
sweep_20260731_145838,550,100,4,2.5327819677419354,0.5564184516129033,4.551937414009368,2.3939978370786514,0.5443338314606742,4.3980324181845525,0.5132814630801688,0.10717049789029535,4.789391420067743,0.39135900188319095,7.493818205078191,0.0522242455278653
sweep_20260731_145838,550,100,5,2.5651023978494623,0.573259317204301,4.474593470820638,2.434648016666667,0.5482882388888888,4.440452747263928,0.513364206451613,0.10428325806451613,4.922786418257222,0.4823336709932944,7.765408750875567,0.062113107817912475
sweep_20260731_145838,550,100,6,2.5788640000000003,0.5811991166666668,4.43714370178413,2.4265308055555557,0.5457889611111112,4.445914040869663,0.5133188692810458,0.1079185,4.756541920811036,0.3106278799413724,7.43404183360267,0.041784521380724735
sweep_20260731_145838,650,100,2,3.1009803709677426,0.6964261935483871,4.452704966721343,2.87478445,0.6463235833333333,4.447902759750244,0.4979754874213837,0.10665690251572328,4.668947584972033,0.2210448252217887,7.828645643221899,0.028235385186091668
sweep_20260731_145838,650,100,3,3.0491793387096777,0.6919400322580643,4.406710403442105,2.825346629213483,0.6412587640449438,4.405938425529984,0.5128094129032258,0.10381843225806452,4.939483305127556,0.5335448795975726,8.072768054367796,0.0660919372394078
sweep_20260731_145838,650,100,4,2.967643790322581,0.673193870967742,4.408304826151313,2.871767130681818,0.6487775568181818,4.426427980594623,0.5079522510683762,0.10968844230769231,4.63086393043576,0.20443594984113744,7.575370449598247,0.026986924428491727
sweep_20260731_145838,650,100,5,2.931392333333334,0.6647285493827161,4.4099088809341795,2.874318264044944,0.6468756067415731,4.443386385403206,0.5099496050955413,0.10928234076433122,4.6663495815417635,0.22296319613855786,7.604716996099666,0.029319065555353546
sweep_20260731_145838,650,100,6,2.9447140833333334,0.6753847666666666,4.360054044255169,2.8719171685393254,0.6448073370786518,4.453915151695951,0.5087893108974358,0.1112594519230769,4.572998537231741,0.11908338553578979,7.437149575022608,0.016011965919809773
sweep_20260731_145838,750,100,2,3.4896066166666673,0.77966475,4.475778360720639,3.2816999494382024,0.7438191741573034,4.411959335622325,0.5108326592356687,0.10403710191082806,4.91010081839373,0.4981414827714046,8.267542783516971,0.06025266464475402
sweep_20260731_145838,750,100,3,3.405564611111111,0.7676295925925926,4.436468635359868,3.3084527471910117,0.7438918370786517,4.447491667852794,0.5201963018867926,0.10910429874213838,4.76788089822424,0.32038923037144595,7.82126024859819,0.04096388819549498
sweep_20260731_145838,750,100,4,3.4057187419354844,0.7611264677419355,4.474576678484677,3.310134131868132,0.7462714780219781,4.435562967838155,0.5150397211538462,0.10912598717948715,4.719679834893262,0.28411686705510686,7.823725146224197,0.03631478122569591
sweep_20260731_145838,750,100,5,3.349707444444445,0.7666502222222221,4.3692773410212284,3.2575411853932588,0.7474565617977528,4.3581678881222885,0.5092966202531645,0.11453524050632913,4.446636842963814,0.08846895484152562,7.39306688189366,0.011966475652776032
