level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
200,400,sweep_20260805_154528,extremes,4,0,203.89591581632655,101.9,0.8083606709183674,3.964575100398551,0.814384,208.353,3.908674221153523,0.169679349552,4.015069137886263,756.887517,757.287517,2026-08-05T19:57:58.468846+00:00,41.80824641284835,-4619.803955197177,2.976274946808511,3.014356,0.03808105319148902,291.76691166412047,3.733119917066823,0,0,1,392,30.0,0,1
200,400,sweep_20260805_154528,extremes,5,0,198.51268041237114,99.3,0.7890144407216495,3.974629928338214,0.761931,196.854,3.870538571733366,0.149989165074,4.002041722148247,788.270454,788.670454,2026-08-05T19:58:29.829303+00:00,27.361819202235893,-4630.05440312722,2.9682329255319155,2.992457,0.02422407446808439,290.97854508060794,2.374707821618936,0,0,1,388,30.0,0,1
200,400,sweep_20260805_154528,extremes,6,0,201.74948214285715,100.9,0.7983506403061223,3.957138485940781,0.773965,198.503,3.8990090829861517,0.153634374395,4.001361859865426,819.639346,820.039346,2026-08-05T19:59:01.175725+00:00,42.78121294376433,-4631.877859748856,2.96629339893617,3.004074,0.037780601063829966,290.78841154286545,3.7036663245874055,0,0,1,392,30.0,0,1
250,400,sweep_20260805_105318,map,1,1,253.54722646310435,101.4,0.9948443842239185,3.9237044636679794,1.0186755,255.45799999999997,3.9876437614010922,0.260228805879,3.9105882735520794,805.632798,806.032798,2026-08-05T16:18:14.780598+00:00,74.61849506639919,-4406.535375633315,3.1534809999999998,3.213859,0.06037800000000004,309.1385805428005,5.918909679815171,0,0,1,393,30.0,0,1
250,400,sweep_20260805_105318,map,2,0,249.8240707070707,99.9,0.9670969848484849,3.8711121074576003,0.966307,257.07500000000005,3.758852474958669,0.24841337202500005,3.975645518630413,837.00724,837.40724,2026-08-05T16:18:46.132233+00:00,52.08868900697598,-4354.794795096889,3.19160210106383,3.234118,0.04251589893617025,312.87562638883577,4.167871836750827,0,0,1,396,30.0,0,1
250,400,sweep_20260805_105318,map,3,0,247.1150848329049,98.8,0.9712135475578405,3.9302074505672486,0.937165,243.823,3.843628369760031,0.22850238179500001,3.974191010604564,868.39627,868.79627,2026-08-05T16:19:17.498446+00:00,53.56253028994615,-4370.62392105166,3.178773526595745,3.224629,0.04585547340425533,311.61802968809417,4.495253327452943,0,0,1,389,30.0,0,1
250,400,sweep_20260805_105318,map,4,0,250.0375572519084,100.0,0.986454748091603,3.945226304933732,0.979564,252.07200000000003,3.886048430607128,0.24692065660800003,4.02401878889131,899.764866,900.164866,2026-08-05T16:19:48.844240+00:00,62.95050402462857,-4363.338390339667,3.18498347089947,3.23894,0.05395652910052995,312.2267961170986,5.289407108257237,0,0,1,393,30.0,0,1
250,400,sweep_20260805_105318,map,5,0,251.7900255754476,100.7,0.9868419411764705,3.9193051389590026,0.9881665,251.00699999999998,3.936808535220133,0.24803670866549996,3.998653280109673,931.154331,931.554331,2026-08-05T16:20:20.210888+00:00,58.31923621042915,-4371.093728358986,3.179201052910053,3.22777,0.04856894708994686,311.65994047745676,4.7612575949703055,0,0,1,391,30.0,0,1
250,400,sweep_20260805_105318,map,6,0,251.0256760204082,100.4,0.9824150357142857,3.913603784636023,0.97275,255.40699999999998,3.8086270149212824,0.24844715925,3.9760374379792514,962.530823,962.930823,2026-08-05T16:20:51.564571+00:00,56.15959851674597,-4364.984679852994,3.1847009734042553,3.232306,0.047605026595744615,312.19910263339676,4.6667636014013585,0,0,1,392,30.0,0,1
350,400,sweep_20260805_105318,map,1,1,350.67654081632656,100.2,1.344552112244898,3.834166121049804,1.312636,341.95,3.8386781693230003,0.44885588019999995,4.157843996126939,1017.928953,1018.328953,2026-08-05T16:21:47.446244+00:00,151.19117956321224,-4416.616936795124,3.144944042328042,3.26677,0.12182595767195803,308.301694899011,11.942708273167463,0,0,0,392,30.0,0,1
350,400,sweep_20260805_105318,map,2,0,352.87831377551026,100.8,1.3700022397959184,3.8823645044605075,1.357303,351.314,3.863503874027223,0.47683954614199997,4.001071837274148,1049.309545,1049.709545,2026-08-05T16:22:18.806623+00:00,147.04445208010748,-4365.728148894516,3.1833203915343917,3.297973,0.1146526084656081,312.0637629501792,11.239498394500416,0,0,0,392,30.0,0,1
350,400,sweep_20260805_105318,map,3,0,350.4261483375958,100.1,1.349524503836317,3.851095331322717,1.350596,353.45899999999995,3.821082501789458,0.4773803115639999,4.01104789573498,1080.693979,1081.093979,2026-08-05T16:22:50.170841+00:00,132.71656749798967,-4358.656252030639,3.188606973404255,3.290218,0.10161102659574484,312.58201132877184,9.961020386457161,0,0,0,391,30.0,0,1
350,400,sweep_20260805_105318,map,4,0,346.67349747474753,99.0,1.342313893939394,3.8719830149034427,1.30323,342.54400000000004,3.8045623335980197,0.44641361712000005,4.000781810415004,1112.067249,1112.467249,2026-08-05T16:23:21.523903+00:00,135.67632553160092,-4385.8729457502295,3.1670181587301585,3.276324,0.10930584126984133,310.46564039647456,10.715349994243002,0,0,0,396,30.0,0,1
350,400,sweep_20260805_105318,map,5,0,353.25401781170484,100.9,1.3628956335877862,3.8581178553339233,1.350332,348.789,3.8714867728053353,0.47098094794800005,4.012129586979887,1143.452741,1143.852741,2026-08-05T16:23:52.889178+00:00,145.36225960924185,-4391.0168565081185,3.1639697936507942,3.275293,0.11132320634920578,310.16680642423535,10.913114108588813,0,0,0,393,30.0,0,1
350,400,sweep_20260805_105318,map,6,0,348.35634683544305,99.5,1.3496613772151898,3.874369993473219,1.321634,345.04,3.8303790864827265,0.45601659536,3.9951730529030183,1174.831302,1175.231302,2026-08-05T16:24:24.247527+00:00,133.02154758602956,-4376.488500347264,3.1747792116402125,3.278118,0.1033387883597876,311.2264633981453,10.130394427160848,0,0,0,395,30.0,0,1
450,400,sweep_20260805_105318,map,1,1,450.81738539042817,100.2,1.7291316095717886,3.8355477530536732,1.7279985,452.3505,3.8200433071257796,0.78166098547425,3.988018162812509,1230.532954,1230.932954,2026-08-05T16:25:19.970425+00:00,257.4262464529111,-4418.0761035131,3.143998164021164,3.341728,0.19772983597883576,308.20896959730334,19.38363377659737,0,0,0,397,30.0,0,1
