level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
850,200,sweep_20260731_155129,map,3,0,850.103841025641,100.0,3.708180441025641,4.362032333075641,3.6250999999999998,846.7020000000001,4.28143549914846,3.0693794202,4.703798108910984,1142.936676,1143.136676,2026-07-31T20:10:30.729038+00:00,1642.7170344948258,-3836.5382096095323,1.9211709095744678,2.464241,0.5430700904255321,188.33411330715865,53.23764972403491,0,0,1,195,30.0,0,1
850,200,sweep_20260731_155129,map,4,0,850.9827193877552,100.1,3.7483195612244895,4.404695272685727,3.65597,847.3230000000001,4.314730038013838,3.09778746831,4.678836088025064,1174.101505,1174.301505,2026-07-31T20:11:01.871885+00:00,1629.181914341354,-3873.712640389488,1.9125253227513224,2.442068,0.5295426772486775,187.48657864991267,51.911545235722215,0,0,1,196,30.0,0,1
850,200,sweep_20260731_155129,map,5,0,850.853984375,100.1,3.73440615625,4.389009424446818,3.690066,856.327,4.309178619849661,3.159903147582,4.721385669969922,1205.268877,1205.468877,2026-07-31T20:11:33.017272+00:00,1694.5556581361375,-3816.1283287418414,1.9308799680851065,2.484065,0.5531850319148937,189.28590105104735,54.229226541619894,0,0,1,192,30.0,0,1
850,200,sweep_20260731_155129,map,6,0,851.2536302083333,100.1,3.7272829739583333,4.378581002992174,3.661368,853.256,4.2910545018142265,3.124084214208,4.670421375645535,1236.435505,1236.635505,2026-07-31T20:12:04.161916+00:00,1626.5018013028284,-3859.955695601688,1.9145359894179894,2.44996,0.5354240105820105,187.68368611283324,52.48809763555136,0,0,1,192,30.0,0,1
950,200,sweep_20260731_155129,map,1,1,950.7200052631578,100.1,4.1493825105263165,4.364463235816495,4.017091,946.476,4.24426081591081,3.802080221316,4.820971993247579,1291.621023,1291.821023,2026-07-31T20:12:59.067380+00:00,2292.9788523884663,-4035.574820056959,1.8603402645502642,2.611977,0.7516367354497357,182.37083042824318,73.68362564440876,0,0,1,190,30.0,0,1
950,200,sweep_20260731_155129,map,2,0,950.9844381443298,100.1,4.132349670103093,4.345338897623402,3.998879,950.549,4.20691516165921,3.801130434571,4.7179302638307545,1322.786887,1322.986887,2026-07-31T20:13:30.213087+00:00,2519.158124458031,-3778.8472173756695,1.9416021851851855,2.760148,0.8185458148148146,190.33700964329515,80.2427829123124,0,0,1,194,30.0,0,1
950,200,sweep_20260731_155129,map,3,0,950.9354512820513,100.1,4.152328764102564,4.36657268219877,4.052916,951.2810000000001,4.260482444198927,3.855461985396,4.7278765863093835,1353.952856,1354.152856,2026-07-31T20:14:01.358898+00:00,2493.9591528674628,-3804.81782473278,1.9313077354497357,2.738827,0.8075192645502645,189.32783547078984,79.1618402660536,0,0,1,195,30.0,0,1
950,200,sweep_20260731_155129,map,4,0,951.8260157068066,100.2,4.125259790575916,4.334048158488904,3.973757,944.6759999999999,4.20647608280511,3.7539128677319997,4.752630829814489,1385.120607,1385.320607,2026-07-31T20:14:32.506491+00:00,2369.4544662652324,-3790.8785611715894,1.9350147021276596,2.70732,0.7723052978723406,189.69123275047312,75.70978342027117,0,0,1,191,30.0,0,1
950,200,sweep_20260731_155129,map,5,0,951.101252688172,100.1,4.118748424731183,4.330504678750072,4.0227785,949.361,4.237353862229437,3.8190690195385004,4.70006293502663,1416.28537,1416.48537,2026-07-31T20:15:03.651097+00:00,2502.897589506264,-3738.0826574551597,1.951640555555556,2.765673,0.814032444444444,191.3210801251719,79.80033315290042,0,0,1,186,30.0,0,1
950,200,sweep_20260731_155129,map,6,0,951.7299740932641,100.2,4.122797922279792,4.331898789052725,3.967158,946.896,4.189644902924925,3.756486041568,4.732305020106859,1447.452601,1447.652601,2026-07-31T20:15:34.798170+00:00,2594.480146525691,-3716.5344823759087,1.9623187301587302,2.796274,0.8339552698412698,192.36787119181017,81.75338565696713,0,0,1,193,30.0,0,1
