t_s,v_trig,v_dac,v_out
0.02788,0,0.26,0.64
0.02789,0.04,0.26,0.64
0.0279,0,0.28,0.64
0.02791,0,0.28,0.64
0.02792,0,0.26,0.64
0.02793,0,0.28,0.66
0.02794,0,0.28,0.66
0.02795,0,0.28,0.64
0.02796,0,0.26,0.64
0.02797,0,0.28,0.64
0.02798,0,0.3,0.66
0.02799,0,0.28,0.64
0.028,0,0.28,0.64
0.02801,0,0.28,0.66
0.02802,0.04,0.26,0.62
0.02803,0,0.26,0.64
0.02804,0,0.3,0.66
0.02805,0,0.28,0.66
0.02806,0,0.28,0.64
0.02807,0,0.28,0.66
0.02808,0,0.28,0.66
0.02809,0,0.28,0.64
0.0281,0,0.28,0.66
0.02811,0,0.28,0.66
0.02812,0,0.3,0.66
0.02813,0,0.26,0.64
0.02814,0,0.28,0.64
0.02815,0,0.28,0.66
0.02816,0.04,0.28,0.64
0.02817,0,0.28,0.66
0.02818,0,0.28,0.66
0.02819,0,0.28,0.64
0.0282,0,0.26,0.64
0.02821,0,0.28,0.66
0.02822,0,0.28,0.66
0.02823,0,0.28,0.64
0.02824,0,0.28,0.64
0.02825,0,0.28,0.64
0.02826,0,0.28,0.66
0.02827,0,0.26,0.64
0.02828,0,0.28,0.64
0.02829,0,0.28,0.66
0.0283,0,0.26,0.64
0.02831,0,0.28,0.64
0.02832,0.04,0.28,0.66
0.02833,0,0.28,0.64
0.02834,0,0.26,0.64
0.02835,0,0.28,0.64
0.02836,0,0.28,0.66
0.02837,0,0.28,0.66
0.02838,0,0.28,0.64
0.02839,0,0.28,0.66
0.0284,0,0.28,0.66
0.02841,0,0.26,0.62
0.02842,0,0.28,0.64
0.02843,0,0.28,0.66
0.02844,0,0.28,0.64
0.02845,0,0.28,0.64
0.02846,0,0.28,0.64
0.02847,0,0.28,0.64
0.02848,0,0.26,0.62
0.02849,0,0.28,0.66
0.0285,0.04,0.26,0.64
0.02851,0,0.26,0.64
0.02852,0,0.26,0.64
0.02853,0,0.28,0.64
0.02854,0,0.28,0.66
0.02855,0,0.26,0.64
0.02856,0,0.28,0.64
0.02857,0,0.28,0.66
0.02858,0,0.28,0.64
0.02859,0,0.26,0.64
0.0286,0,0.28,0.66
0.02861,0,0.28,0.64
0.02862,0,0.26,0.64
0.02863,0,0.28,0.64
0.02864,0,0.26,0.64
0.02865,0,0.28,0.64
0.02866,0,0.28,0.64
0.02867,0,0.28,0.66
0.02868,0,0.26,0.64
0.02869,0,0.24,0.62
0.0287,0,0.28,0.64
0.02871,0,0.3,0.68
0.02872,0,0.28,0.64
0.02873,0,0.26,0.64
0.02874,0,0.28,0.66
0.02875,0,0.28,0.66
0.02876,0,0.28,0.64
0.02877,0,0.28,0.66
0.02878,0.04,0.28,0.66
0.02879,0,0.28,0.64
0.0288,0,0.28,0.64
0.02881,0,0.28,0.66
0.02882,0.04,0.28,0.64
0.02883,0,0.26,0.64
0.02884,0,0.28,0.64
0.02885,0,0.3,0.68
0.02886,0,0.26,0.64
0.02887,0,0.26,0.64
0.02888,0,0.28,0.66
0.02889,0,0.28,0.64
0.0289,0,0.28,0.64
0.02891,0,0.28,0.64
0.02892,0,0.28,0.64
0.02893,0,0.28,0.64
0.02894,0,0.28,0.64
0.02895,0,0.28,0.66
0.02896,0,0.28,0.66
0.02897,0,0.24,0.62
0.02898,0.04,0.28,0.64
0.02899,0,0.3,0.68
0.029,0,0.28,0.64
0.02901,0,0.28,0.66
0.02902,0,0.28,0.66
0.02903,0,0.28,0.66
0.02904,0,0.28,0.66
0.02905,0,0.28,0.64
0.02906,0.04,0.28,0.64
0.02907,0,0.28,0.64
0.02908,0,0.28,0.66
0.02909,0,0.26,0.64
0.0291,0,0.28,0.64
0.02911,0,0.26,0.62
0.02912,0,0.28,0.66
0.02913,0,0.28,0.66
0.02914,0,0.26,0.64
0.02915,0,0.28,0.64
0.02916,0,0.28,0.66
0.02917,0,0.28,0.64
0.02918,0,0.26,0.64
0.02919,0,0.28,0.64
0.0292,0,0.28,0.64
0.02921,0,0.28,0.66
0.02922,0,0.26,0.64
0.02923,0,0.28,0.64
0.02924,0,0.28,0.64
0.02925,0,0.24,0.62
0.02926,0,0.26,0.64
0.02927,0,0.3,0.68
0.02928,0,0.28,0.64
0.02929,0,0.26,0.64
0.0293,0,0.28,0.66
0.02931,0,0.26,0.64
0.02932,0,0.28,0.64
0.02933,0,0.28,0.66
0.02934,0,0.28,0.64
0.02935,0,0.26,0.64
0.02936,0,0.26,0.64
0.02937,0,0.28,0.64
