host_timestamp_s,monotonic_s,fields_json
1784158159.074919,68038.218000,"{""t_ms"":812173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":841698836,""m4_us"":841054094,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":5952,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158160.111153,68039.265000,"{""t_ms"":813173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":842735336,""m4_us"":842090536,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":3717,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158161.147848,68040.296000,"{""t_ms"":814173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":843771842,""m4_us"":843127019,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3729,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158162.194344,68041.343000,"{""t_ms"":815173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":844808216,""m4_us"":844163509,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3935,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158163.220763,68042.375000,"{""t_ms"":816173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":845844709,""m4_us"":845199992,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":3791,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158164.256056,68043.406000,"{""t_ms"":817173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":846881262,""m4_us"":846236523,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3662,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158165.293789,68044.437000,"{""t_ms"":818173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":847917938,""m4_us"":847273067,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3660,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158166.332145,68045.484000,"{""t_ms"":819173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":848954304,""m4_us"":848309592,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":145,""loop_us_max"":4033,""loop_hz"":6896,""cycle_log_ms"":1,""n_cycle"":4}"
1784158167.366676,68046.515000,"{""t_ms"":820173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":849990814,""m4_us"":849346101,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3739,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158168.403351,68047.546000,"{""t_ms"":821173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":851027377,""m4_us"":850382619,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3612,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158169.441176,68048.593000,"{""t_ms"":822173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":852063877,""m4_us"":851419137,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":144,""loop_us_max"":3837,""loop_hz"":6944,""cycle_log_ms"":1,""n_cycle"":4}"
1784158170.476439,68049.625000,"{""t_ms"":823173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":853100447,""m4_us"":852455614,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3706,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158171.526898,68050.671000,"{""t_ms"":824173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":854136788,""m4_us"":853492094,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":4298,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158172.549251,68051.703000,"{""t_ms"":825173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":855173525,""m4_us"":854528523,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":144,""loop_us_max"":3910,""loop_hz"":6944,""cycle_log_ms"":1,""n_cycle"":4}"
1784158173.584774,68052.734000,"{""t_ms"":826173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":856209671,""m4_us"":855564961,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3848,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158174.628954,68053.781000,"{""t_ms"":827173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":857246300,""m4_us"":856601406,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":141,""loop_us_max"":3618,""loop_hz"":7092,""cycle_log_ms"":1,""n_cycle"":4}"
1784158175.660479,68054.812000,"{""t_ms"":828173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":858282555,""m4_us"":857637845,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":96,""loop_us_max"":3871,""loop_hz"":10416,""cycle_log_ms"":1,""n_cycle"":4}"
